LineId,Device,type,time,Content,EventId,EventTemplate,ParameterList
1,Client03,PATH,1584200382.303:4286,"item=1 name=""/home/akep/Downloads/Report_2020.sh"" inode=516676 dev=08:01 mode=0100644 ouid=1000 ogid=1000 rdev=00:00 nametype=CREATE cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0",6d14a143,item=<*> <*> inode=<*> dev=<*>:<*> mode=<*> ouid=<*> ogid=<*> rdev=<*>:<*> nametype<*> cap_fp=<*> cap_fi=<*> cap_fe=<*> cap_fver=<*>,"['1 name=""/home/akep/Downloads/Report_2020.sh""', '516676', '08:01', '0100644', '1000', '1000', '00:00', '=CREATE', '0', '0', '0', '0']"
2,Client03,PROCTITLE,1584200382.303:4286,"proctitle=""/usr/lib/firefox/firefox""",5ea41cea,"proctitle<*>""","['=""/usr/lib/firefox/firefox']"
3,Client03,SYSCALL,1584200382.499:4287,"arch=c000003e syscall=257 success=yes exit=165 a0=ffffff9c a1=7f23b43a3308 a2=242 a3=180 items=2 ppid=2144 pid=2467 auid=1000 uid=1000 gid=1000 euid=1000 suid=1000 fsuid=1000 egid=1000 sgid=1000 fsgid=1000 tty=pts0 ses=1 comm=43616368653220492F4F exe=""/usr/lib/firefox/firefox"" key=""home""",83a6f4d4,arch<*> syscall=<*> success<*> exit=<*> <*> <*> <*> <*> items=<*> ppid=<*> pid=<*> auid=<*> uid=<*> gid=<*> euid=<*> suid=<*> fsuid=<*> egid=<*> sgid=<*> fsgid=<*> <*> ses=<*> <*> <*> <*>,"['=c000003e', '257', '=yes', '165', 'a0=ffffff9c', 'a1=7f23b43a3308 a2=242 a3=180', '2', '2144', '2467', '1000', '1000', '1000', '1000', '1000', '1000', '1000', '1000', '1000 tty=pts0', '1', 'comm=43616368653220492F4F exe=""/usr/lib/firefox/firefox"" key=""home""']"
4,Client03,CWD,1584200382.499:4287,"cwd=""/home/akep""",569c5378,"cwd<*>""","['=""/home/akep']"
5,Client03,PATH,1584200382.499:4287,"item=0 name=""/home/akep/.cache/mozilla/firefox/xq5ngiu3.default-release/cache2/entries/"" inode=516506 dev=08:01 mode=040700 ouid=1000 ogid=1000 rdev=00:00 nametype=PARENT cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0",6d14a143,item=<*> <*> inode=<*> dev=<*>:<*> mode=<*> ouid=<*> ogid=<*> rdev=<*>:<*> nametype<*> cap_fp=<*> cap_fi=<*> cap_fe=<*> cap_fver=<*>,"['0 name=""/home/akep/.cache/mozilla/firefox/xq5ngiu3.default-release/cache2/entries/""', '516506', '08:01', '040700', '1000', '1000', '00:00', '=PARENT', '0', '0', '0', '0']"
6,Client03,PATH,1584200382.499:4287,"item=1 name=""/home/akep/.cache/mozilla/firefox/xq5ngiu3.default-release/cache2/entries/FAD342589D1512AB182D6ACCA0436E1A84BFD2E6"" inode=516706 dev=08:01 mode=0100600 ouid=1000 ogid=1000 rdev=00:00 nametype=CREATE cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0",6d14a143,item=<*> <*> inode=<*> dev=<*>:<*> mode=<*> ouid=<*> ogid=<*> rdev=<*>:<*> nametype<*> cap_fp=<*> cap_fi=<*> cap_fe=<*> cap_fver=<*>,"['1 name=""/home/akep/.cache/mozilla/firefox/xq5ngiu3.default-release/cache2/entries/FAD342589D1512AB182D6ACCA0436E1A84BFD2E6""', '516706', '08:01', '0100600', '1000', '1000', '00:00', '=CREATE', '0', '0', '0', '0']"
7,Client03,PROCTITLE,1584200382.499:4287,"proctitle=""/usr/lib/firefox/firefox""",5ea41cea,"proctitle<*>""","['=""/usr/lib/firefox/firefox']"
8,Client03,SYSCALL,1584200382.535:4288,"arch=c000003e syscall=257 success=yes exit=165 a0=ffffff9c a1=7f23b4332e08 a2=242 a3=180 items=2 ppid=2144 pid=2467 auid=1000 uid=1000 gid=1000 euid=1000 suid=1000 fsuid=1000 egid=1000 sgid=1000 fsgid=1000 tty=pts0 ses=1 comm=43616368653220492F4F exe=""/usr/lib/firefox/firefox"" key=""home""",83a6f4d4,arch<*> syscall=<*> success<*> exit=<*> <*> <*> <*> <*> items=<*> ppid=<*> pid=<*> auid=<*> uid=<*> gid=<*> euid=<*> suid=<*> fsuid=<*> egid=<*> sgid=<*> fsgid=<*> <*> ses=<*> <*> <*> <*>,"['=c000003e', '257', '=yes', '165', 'a0=ffffff9c', 'a1=7f23b4332e08 a2=242 a3=180', '2', '2144', '2467', '1000', '1000', '1000', '1000', '1000', '1000', '1000', '1000', '1000 tty=pts0', '1', 'comm=43616368653220492F4F exe=""/usr/lib/firefox/firefox"" key=""home""']"
9,Client03,CWD,1584200382.535:4288,"cwd=""/home/akep""",569c5378,"cwd<*>""","['=""/home/akep']"
10,Client03,PATH,1584200382.535:4288,"item=0 name=""/home/akep/.cache/mozilla/firefox/xq5ngiu3.default-release/cache2/entries/"" inode=516506 dev=08:01 mode=040700 ouid=1000 ogid=1000 rdev=00:00 nametype=PARENT cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0",6d14a143,item=<*> <*> inode=<*> dev=<*>:<*> mode=<*> ouid=<*> ogid=<*> rdev=<*>:<*> nametype<*> cap_fp=<*> cap_fi=<*> cap_fe=<*> cap_fver=<*>,"['0 name=""/home/akep/.cache/mozilla/firefox/xq5ngiu3.default-release/cache2/entries/""', '516506', '08:01', '040700', '1000', '1000', '00:00', '=PARENT', '0', '0', '0', '0']"
