EventId,EventTemplate,Occurrences
2204a9d7,cannot open file /<*>,16
e1db1317,Starting Flush Journal to Persistent Storage...,16
2ac0e54c,Started udev Coldplug all Devices.,15
a7fe3d48,Started Create Static Device Nodes in /<*>,14
22110ed5,Starting udev Kernel Device Manager...,14
e2d09e15,Inserted module <*>,35
7a4412e1,Started Flush Journal to Persistent Storage.,16
f95692bb,Started <*> Kernel <*>,31
40de610b,Mounting <*> <*> File System...,30
96c375ea,Starting Apply Kernel Variables...,15
737d7ce7,Mounted <*> <*> File System.,31
0180b609,Started <*> <*> daemon.,16
0964e582,Started udev Kernel Device Manager.,16
92499399,"Started Monitoring of LVM2 mirrors, snapshots etc. using dmeventd or progress polling.",15
07b8c44b,Found device <*>,32
b4c65ba8,"link_config: autonegotiation is unset or enabled, the speed and duplex are not writable.",32
293cf4f7,Listening on Load/<*> RF Kill Switch Status /<*> Watch.,16
af718609,Started Hyper-V <*> Protocol Daemon.,32
5c47e00b,KVP starting; pid is:<*>,16
ab48c2c2,KVP LIC Version: <*>.<*>,16
046d6255,Started Set the console keyboard layout.,16
2e7c532c,Started Dispatch Password Requests to Console Directory Watch.,16
34b1ff8d,Reached target Local <*> <*>,17
46c291bc,Reached target <*> File Systems (Pre).,32
aba829c1,Found device Virtual_Disk <*>,29
cc864f0b,Mounting /<*>,17
53d23e31,Mounted /<*>,17
0ef14e86,Starting Tell Plymouth To Write Out Runtime Data...,31
cf714a33,Starting ebtables ruleset management...,16
46a50284,Starting Commit a transient machine-id on disk...,3
5be8af45,Starting Set console font and keymap...,16
c28ff93c,Starting AppArmor initialization...,16
553b6ace,Starting Create Volatile Files and Directories...,16
789c1938,Started Set console font and keymap.,16
6c9f2ba4,Started Tell Plymouth To Write Out Runtime Data.,31
e752b074,Started Commit a transient machine-id on disk.,3
0dce4002,Started Create Volatile Files and Directories.,16
efe6c9f1,Starting Network <*> <*>,32
37528435,Starting Update UTMP about System Boot/<*>,16
556c2007,Started ebtables ruleset management.,16
82f7e520,Started Update UTMP about System Boot/<*>,16
5ec4b9d4,* Starting AppArmor profiles,16
19632b36,Started Network <*> <*>,32
f1929b07,Reached target System Time Synchronized.,15
8a13912a,Skipping profile in /<*>: <*>,27
5917eca7,...done.,48
0996564c,Started AppArmor initialization.,16
e78729f5,Starting Initial cloud-init job (pre-networking)...,16
3d40c3c5,+ [ -e /<*> ],16
c5c10621,+ exit <*>,16
06949766,Internet Systems Consortium DHCP Client <*>.<*>.<*>,30
bc90b480,Copyright <*>-<*> Internet Systems Consortium.,30
1efc109b,All rights reserved.,30
fd4654d5,"For info, please visit https:<*>",30
bc8025b4,Listening on <*>,30
bbadc51a,Sending on <*>,60
959474a6,DHCPDISCOVER on eth0 to <*> port <*> interval <*> (xid=<*>),38
f8f69ec0,DHCPREQUEST of <*> on eth0 to <*> port <*> (xid=<*>),30
82041fd7,DHCPOFFER of <*> from <*>,30
151a0778,DHCPACK of <*> from <*>,30
032e2c6f,bound to <*> -- renewal in <*> seconds.,30
9719122c,Cloud-init v. <*>.<*>-<*>-gbb4131a2-0ubuntu1~<*>.<*>.<*> running <*> at <*> <*> Mar <*> <*>:<*>:<*> <*>. Up <*>.<*> seconds.,64
4d107eed,Started Initial cloud-init job (pre-networking).,16
3f508636,Reached target <*> <*>,142
2e322db0,Starting <*> Service...,56
d7e5ae8a,Enumeration completed,16
251593e6,Started <*> Service.,56
f4377478,eth0: Link <*>,76
85e5c000,eth0: Gained <*>,67
1968e964,eth0: Lost carrier,32
d4606850,"Network configuration changed, trying to establish connection.",52
9ee30012,"eth0: Removing non-existent address: fe80::<*>:<*>:<*>:<*><*> (valid forever), ignoring",27
29a897b8,Starting Wait for Network to be Configured...,16
16786b5a,ignoring: lo,54
48f48d37,eth0: IPv6 successfully enabled,16
fda80c60,lo: Link is not managed by us,16
7fab82ac,message repeated <*> times: [ ignoring: lo],4
9d5e0649,Positive Trust Anchors:,16
52252e0a,. IN DS <*> <*> <*> 49aac11d7b6f6446702e54a1607371607a1a41855200fd2ce1cdde32f24e8fb<*>,16
feb133fd,. IN DS <*> <*> <*> e06d44b80b8f1d39a95c0b0d7c65d08458e880409bbc683457104237c7f8ec8d,16
be94182a,[ <*>.<*>] Linux version <*>.<*>.<*>-<*>-azure (buildd@lcy01-amd64-<*>) (gcc version <*>.<*>.<*> (Ubuntu <*>.<*>.<*>-1ubuntu1~<*>.<*>.<*>)) #<*>-Ubuntu SMP Mon Feb <*> <*>:<*>:<*> UTC <*> (Ubuntu <*>.<*>.<*>-<*>.<*>-azure <*>.<*>.<*>),16
5fbfbc32,[ <*>.<*>] Command line: BOOT_IMAGE=<*><*>.<*>.<*>-<*>-azure root=<*>=<*> ro console=<*> console=<*> earlyprintk=<*> rootdelay=<*>,16
965b1ec6,[ <*>.<*>] KERNEL supported cpus:,16
02923d72,Negative trust anchors: <*>.in-addr.arpa <*>.<*>.in-addr.arpa <*>.<*>.in-addr.arpa <*>.<*>.in-addr.arpa <*>.<*>.in-addr.arpa <*>.<*>.in-addr.arpa <*>.<*>.in-addr.arpa <*>.<*>.in-addr.arpa <*>.<*>.in-addr.arpa <*>.<*>.in-addr.arpa <*>.<*>.in-addr.arpa <*>.<*>.in-addr.arpa <*>.<*>.in-addr.arpa <*>.<*>.in-addr.arpa <*>.<*>.in-addr.arpa <*>.<*>.in-addr.arpa <*>.<*>.in-addr.arpa <*>.<*>.in-addr.arpa d.f.ip6.arpa corp home internal intranet lan local private test,16
95016386,Using system hostname <*>,16
50ef944c,Reached target Host and Network Name Lookups.,16
1482f31a,Reached target <*>,122
0de29e31,eth0: DHCPv4 address <*>/<*> via <*>,17
97681fc7,eth0: Configured,17
02a30c10,managing: eth<*>,16
4969deb1,Started Wait for Network to be Configured.,16
cdc459be,Starting Initial cloud-init job (metadata service crawler)...,16
14b27b51,ci-info: ++++++++++++++++++++++++++++++++++++Net device <*>,16
08a08cfa,ci-info: <*>,144
547d2eda,ci-info: | <*> | <*> | <*> | <*> | <*> | <*> |,160
d12607e6,ci-info: ++++++++++++++++++++++++++++++Route IPv4 info+++++++++++++++++++++++++++++++,16
936b8562,[ <*>.<*>] <*> <*>,479
18f76c70,ci-info: +++++++++++++++++++Route IPv6 info+++++++++++++++++++,16
f9acf2a5,ci-info: | <*> | <*> | <*> | <*> | <*> |,64
9eb84f4a,Version <*>.<*>.<*> integrated FUSE <*>,15
206e2e98,"Mounted /<*> (Read-Only, label ""Temporary Storage"", NTFS <*>.<*>)",15
a04e25eb,Cmdline options: ro,15
d1cc88b6,"Mount options: ro,allow_other,nonempty,relatime,fsname=<*>,blkdev,blksize=<*>",15
3167901f,"Ownership and permissions disabled, configuration type <*>",15
64e69a5b,Unmounting /<*> (Temporary Storage),15
c39f5440,Reloading.,83
30c50e8b,Generating public/<*> <*> key pair.,12
470960ae,Your identification has been saved in /<*>,12
250f32cb,Your public key has been saved in /<*>,12
e330a02d,The key fingerprint is:,12
c784e62e,<*> root@Client<*>,12
890114fb,The key's randomart image is:,12
05a160dc,+---[RSA <*>]----+,3
1f5411c5,| <*> <*> |,10
9e2d93ad,|+.+ +. |,1
20903e7b,|<*> oo |,1
901d1654,|= o o E |,1
ac86d0b7,|<*> <*> . <*> <*> . |,2
75291344,|<*> = o o .. o |,1
cc79f8c7,|<*> o=*=<*> . . |,1
0367e66d,| <*> <*> .. |,2
adc32fbf,+----[<*>]-----+,12
dd21cfec,+---[DSA <*>]----+,3
4a43f9b2,| =<*> oo+*+ o.|,1
4624c061,| ..*o..o .Bo++oE.|,1
1e4dfb01,| o <*>,2
b1efce1f,| . oo= ++ .o|,1
fa594d1d,| <*> <*> .|,2
1a87b914,| <*> <*> . <*> |,6
200498e3,| <*> |,8
98d28617,+---[ECDSA <*>]---+,3
24f17471,|+=+ ooo |,1
14b0be3e,|+o.+ o |,1
2ff5e442,| .. <*> <*> |,2
2d55fa95,|<*> .o o |,1
dbd4a20d,|<*>+. o S |,1
7283b5f5,|<*>++=<*>= * o |,1
4bab95c7,|<*>*oB * o o |,1
359fe051,|<*>+oo.= o . |,1
bb5e01dd,|<*>=*E o . |,1
2044903c,+--[ED25519 <*>]--+,3
5d67291d,| .+ .+ +.**o. |,1
d3f46817,| + <*> <*> <*> |,2
f2ae0bb4,| <*> <*> <*> . |,5
7c647ef1,Started Initial cloud-init job (metadata service crawler).,16
18485d6f,Reached target Network is Online.,16
fdfb28e9,Reached target <*> File Systems.,31
53251afc,Starting Availability of block devices...,16
29d363e3,Started ACPI Events Check.,16
b362abbb,Listening on <*> <*> <*> socket.,32
d39a60d5,Listening on D-Bus <*> Message Bus Socket.,27
8694f3ec,Starting Socket activation for snappy daemon.,16
d3980a7a,Started Daily Cleanup of Temporary Directories.,16
4c52e87a,Starting LXD - <*> <*>,32
43d542ce,Started Daily apt download activities.,24
be35dfa1,Started Daily apt upgrade and clean activities.,22
81d45750,Listening on <*> <*> Socket.,32
f19f71b6,Started Discard unused blocks once a week.,16
345a768e,Started Message of the Day.,28
92b30dcd,Started Availability of block devices.,16
fa48fe96,Listening on Socket activation for snappy daemon.,16
b68084b7,Started FUSE filesystem for LXC.,16
9c2aca04,Starting Pollinate to seed the pseudo random number generator...,3
75ebfe87,Starting LSB: Record successful boot for GRUB...,16
ed3143cc,Starting Dispatcher daemon for systemd-networkd...,16
36e71184,Started Deferred execution scheduler.,16
0b755803,Started Regular background program processing daemon.,16
d939bebe,Started Azure Linux Agent.,16
c1c8232e,Starting LSB: automatic crash report generation...,16
5946521f,Started <*> daemon.,48
f538b97b,Started D-Bus <*> Message Bus.,27
f2ba3844,VSS starting; pid is:<*>,16
c5381bd5,VSS: kernel module version: <*>,16
0dfcd344,(CRON) INFO (pidfile fd = <*>),16
a91f3deb,mount namespace: <*>,16
0590ae93,hierarchies:,16
dbc81913,<*> fd: <*>: <*>,208
f1eab20a,client sent challenge to [https:<*>],3
f73113ee,(CRON) INFO (Running @reboot jobs),16
78c40491,[<*>] AppArmor D-Bus mediation is enabled,16
179d2b81,Started Hyper-V File Copy Protocol Daemon.,16
62b65d58,Starting <*> <*> Service...,36
fce63473,Starting Permit User Sessions...,16
b46a9c57,starting; pid is:<*>,16
d8df2a6f,open /<*> failed; error: <*> No such file or directory,16
42329515,Starting <*> daemon...,33
a52131cd,"hv-fcopy-daemon.service: Main process exited, code=<*>, status=<*>/<*>",16
0206d3ec,hv-fcopy-daemon.service: Failed with result 'exit-code'.,16
d6957a01,Started Permit User Sessions.,16
28163593,"[<*>] Activating via systemd: service <*> <*> requested by ':<*>.<*>' (uid=<*> pid=<*> <*> "" label=""unconfined"")",35
695db85f,* Recording successful boot for GRUB,16
81a51bcf,Starting <*> Manager...,32
d7beaac3,* Starting automatic crash report generation: apport,16
d55ac2ff,Started Unattended Upgrades Shutdown.,16
74c403bb,Starting Hold until boot process finishes up...,16
2e4b9e91,Starting Terminate Plymouth Boot Screen...,15
c7e62b9e,Started LSB: automatic crash report generation.,16
496c75dc,Started Hold until boot process finishes up.,16
0151ab30,Started Terminate Plymouth Boot Screen.,15
6d9af0fb,Starting Set console scheme...,16
b2e22f90,Started Serial Getty on ttyS0.,16
442d64d2,Started Set console scheme.,16
d50e6330,Created slice system-getty.slice.,16
74fc2902,Started Getty on tty1.,15
b0b3e1bf,Started LSB: Record successful boot for GRUB.,16
197eb60b,started daemon version <*>.<*> using authority implementation `local' version `<*>.<*>',16
1cb09ff1,[<*>] Successfully activated service <*>,53
1e4ccd56,Started <*> Manager.,32
3d3aa139,started daemon version <*>.<*>.<*>,16
f673f85d,No valid path found for <*>,30
d943e338,Started Dispatcher daemon for systemd-networkd.,16
88b3c0a3,Started <*> <*> Service.,35
890670fe,imuxsock: Acquired UNIX socket '/<*>' (fd <*>) from systemd. [v8.<*>.<*>],16
65151288,rsyslogd's <*> changed to <*>,32
cd65d4fe,"[origin software=""rsyslogd"" swVersion=""<*>.<*>.<*>"" x-pid=""<*>"" x-info=""http:<*>""] start",16
18f54aba,[ <*>.<*>] x86/<*>: Supporting XSAVE feature 0x001: 'x87 floating point registers',16
d4f09af2,[ <*>.<*>] x86/<*>: Supporting XSAVE feature <*> <*> <*>,44
2260ae38,"[ <*>.<*>] x86/<*>: xstate_offset[<*>]: <*>, xstate_sizes[<*>]: <*>",31
a3a72cf2,"[ <*>.<*>] x86/<*>: Enabled xstate features <*> context size is <*> bytes, using <*> format.",16
679f5927,[ <*>.<*>] BIOS-provided physical RAM map:,16
d4d60197,[ <*>.<*>] BIOS-e820: [mem <*> <*>,80
976560cf,[ <*>.<*>] BIOS-e820: [mem <*> ACPI <*>,32
8f72dbf6,[ <*>.<*>] <*> <*> <*> enabled,65
a2cd9fdb,[ <*>.<*>] NX (Execute Disable) protection: active,16
271e8bd5,[ <*>.<*>] SMBIOS <*>.<*> present.,16
22803ace,"[ <*>.<*>] DMI: Microsoft Corporation Virtual Machine/<*> Machine, BIOS <*> <*>/<*>/<*>",16
91ab13e8,[ <*>.<*>] Hypervisor detected: Microsoft Hyper-V,16
9d9bfdd0,"[ <*>.<*>] Hyper-V: features 0x2e7f, hints 0x44c2c",16
e41e7a65,[ <*>.<*>] Hyper-V Host Build:<*>-<*>.<*>-<*>-<*>.<*>,16
14bf15a5,[ <*>.<*>] Hyper-V: LAPIC Timer Frequency: 0xc<*>,16
eaf7708b,[ <*>.<*>] tsc: Marking TSC unstable due to running on Hyper-V,16
