LineId,Device,dayOfWeek,month,day,time,year,pid,pidNumber,Content,EventId,EventTemplate,ParameterList
1,Server,Sat,Mar,7,11:52:10,2020,pid,24301,"CONNECT: Client ""::ffff:10.0.0.7""",be5b43b9,"CONNECT: Client ""::<*>:<*>""",['ffff:10.0.0.7']
2,Server,Sat,Mar,7,11:52:30,2020,pid,24294,"[sepses] OK LOGIN: Client ""::ffff:10.0.0.7""",5801b431,"[<*>] <*> LOGIN: Client ""::<*>:<*>""","['sepses', 'OK', 'ffff:10.0.0.7']"
3,Server,Sat,Mar,7,11:54:42,2020,pid,26614,"CONNECT: Client ""::ffff:10.0.0.7""",be5b43b9,"CONNECT: Client ""::<*>:<*>""",['ffff:10.0.0.7']
4,Server,Sat,Mar,7,11:54:59,2020,pid,26607,"[sepses] FAIL LOGIN: Client ""::ffff:10.0.0.7""",5801b431,"[<*>] <*> LOGIN: Client ""::<*>:<*>""","['sepses', 'FAIL', 'ffff:10.0.0.7']"
5,Server,Sat,Mar,7,12:02:42,2020,pid,33939,"CONNECT: Client ""::ffff:10.0.0.7""",be5b43b9,"CONNECT: Client ""::<*>:<*>""",['ffff:10.0.0.7']
6,Server,Sat,Mar,7,12:03:08,2020,pid,34344,"CONNECT: Client ""::ffff:10.0.0.7""",be5b43b9,"CONNECT: Client ""::<*>:<*>""",['ffff:10.0.0.7']
7,Server,Sat,Mar,7,12:03:32,2020,pid,34343,"[sepses] OK LOGIN: Client ""::ffff:10.0.0.7""",5801b431,"[<*>] <*> LOGIN: Client ""::<*>:<*>""","['sepses', 'OK', 'ffff:10.0.0.7']"
8,Server,Sat,Mar,7,12:11:33,2020,pid,34706,"[sepses] OK MKDIR: Client ""::ffff:10.0.0.7"", ""/files/testfolder""",3e1394dc,"[<*>] OK <*> Client ""::<*>:<*>"", <*>","['sepses', 'MKDIR:', 'ffff:10.0.0.7', '""/files/testfolder""']"
9,Server,Sat,Mar,7,12:12:14,2020,pid,42684,"CONNECT: Client ""::ffff:10.0.0.7""",be5b43b9,"CONNECT: Client ""::<*>:<*>""",['ffff:10.0.0.7']
10,Server,Sat,Mar,7,12:12:26,2020,pid,42683,"[sepses] OK LOGIN: Client ""::ffff:10.0.0.7""",5801b431,"[<*>] <*> LOGIN: Client ""::<*>:<*>""","['sepses', 'OK', 'ffff:10.0.0.7']"
11,Server,Sat,Mar,7,12:19:45,2020,pid,49487,"CONNECT: Client ""::ffff:10.0.0.7""",be5b43b9,"CONNECT: Client ""::<*>:<*>""",['ffff:10.0.0.7']
