LineId,Host,HostIp,LogType,DateTime,Content,EventId,EventTemplate,ParameterList
1,host1,192.168.0.1,daemon,2021-03-03T00:09:18,Mar  3 00:09:18 mail systemd[1]: Starting Clean php session files...,e2f489f9,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Clean php session <*>,"['3 00', '09:18', '1', 'Starting', 'files...']"
2,host1,192.168.0.1,daemon,2021-03-03T00:09:19,Mar  3 00:09:19 mail systemd[1]: Started Clean php session files.,e2f489f9,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Clean php session <*>,"['3 00', '09:19', '1', 'Started', 'files.']"
3,host1,192.168.0.1,daemon,2021-03-03T00:39:18,Mar  3 00:39:18 mail systemd[1]: Starting Clean php session files...,e2f489f9,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Clean php session <*>,"['3 00', '39:18', '1', 'Starting', 'files...']"
4,host1,192.168.0.1,daemon,2021-03-03T00:39:19,Mar  3 00:39:19 mail systemd[1]: Started Clean php session files.,e2f489f9,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Clean php session <*>,"['3 00', '39:19', '1', 'Started', 'files.']"
5,host1,192.168.0.1,daemon,2021-03-03T01:09:19,Mar  3 01:09:19 mail systemd[1]: Starting Clean php session files...,e2f489f9,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Clean php session <*>,"['3 01', '09:19', '1', 'Starting', 'files...']"
6,host1,192.168.0.1,daemon,2021-03-03T01:09:19,Mar  3 01:09:19 mail systemd[1]: Started Clean php session files.,e2f489f9,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Clean php session <*>,"['3 01', '09:19', '1', 'Started', 'files.']"
7,host1,192.168.0.1,daemon,2021-03-03T01:39:18,Mar  3 01:39:18 mail systemd[1]: Starting Clean php session files...,e2f489f9,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Clean php session <*>,"['3 01', '39:18', '1', 'Starting', 'files...']"
8,host1,192.168.0.1,daemon,2021-03-03T01:39:19,Mar  3 01:39:19 mail systemd[1]: Started Clean php session files.,e2f489f9,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Clean php session <*>,"['3 01', '39:19', '1', 'Started', 'files.']"
9,host1,192.168.0.1,daemon,2021-03-03T02:09:19,Mar  3 02:09:19 mail systemd[1]: Starting Clean php session files...,e2f489f9,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Clean php session <*>,"['3 02', '09:19', '1', 'Starting', 'files...']"
10,host1,192.168.0.1,daemon,2021-03-03T02:09:19,Mar  3 02:09:19 mail systemd[1]: Started Clean php session files.,e2f489f9,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Clean php session <*>,"['3 02', '09:19', '1', 'Started', 'files.']"
11,host1,192.168.0.1,daemon,2021-03-03T02:39:18,Mar  3 02:39:18 mail systemd[1]: Starting Clean php session files...,e2f489f9,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Clean php session <*>,"['3 02', '39:18', '1', 'Starting', 'files...']"
12,host1,192.168.0.1,daemon,2021-03-03T02:39:19,Mar  3 02:39:19 mail systemd[1]: Started Clean php session files.,e2f489f9,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Clean php session <*>,"['3 02', '39:19', '1', 'Started', 'files.']"
13,host1,192.168.0.1,daemon,2021-03-03T03:09:18,Mar  3 03:09:18 mail systemd[1]: Starting Clean php session files...,e2f489f9,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Clean php session <*>,"['3 03', '09:18', '1', 'Starting', 'files...']"
14,host1,192.168.0.1,daemon,2021-03-03T03:09:19,Mar  3 03:09:19 mail systemd[1]: Started Clean php session files.,e2f489f9,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Clean php session <*>,"['3 03', '09:19', '1', 'Started', 'files.']"
15,host1,192.168.0.1,daemon,2021-03-03T03:39:18,Mar  3 03:39:18 mail systemd[1]: Starting Clean php session files...,e2f489f9,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Clean php session <*>,"['3 03', '39:18', '1', 'Starting', 'files...']"
16,host1,192.168.0.1,daemon,2021-03-03T03:39:19,Mar  3 03:39:19 mail systemd[1]: Started Clean php session files.,e2f489f9,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Clean php session <*>,"['3 03', '39:19', '1', 'Started', 'files.']"
