LineId,Device,Month,Date,Time,Type,Component,Content,EventId,EventTemplate,ParameterList
1,mail.cup.com,Feb,29,00:09:01,mail-0,CRON[32002],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
2,mail.cup.com,Feb,29,00:09:01,mail-0,CRON[32002],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
3,mail.cup.com,Feb,29,00:17:01,mail-0,CRON[32209],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
4,mail.cup.com,Feb,29,00:17:01,mail-0,CRON[32209],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
5,mail.cup.com,Feb,29,00:39:01,mail-0,CRON[32448],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
6,mail.cup.com,Feb,29,00:39:01,mail-0,CRON[32448],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
7,mail.cup.com,Feb,29,01:09:01,mail-0,CRON[32599],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
8,mail.cup.com,Feb,29,01:09:01,mail-0,CRON[32599],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
9,mail.cup.com,Feb,29,01:17:01,mail-0,CRON[32688],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
10,mail.cup.com,Feb,29,01:17:01,mail-0,CRON[32688],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
11,mail.cup.com,Feb,29,01:39:01,mail-0,CRON[32724],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
12,mail.cup.com,Feb,29,01:39:01,mail-0,CRON[32724],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
13,mail.cup.com,Feb,29,02:09:01,mail-0,CRON[392],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
14,mail.cup.com,Feb,29,02:09:01,mail-0,CRON[392],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
15,mail.cup.com,Feb,29,02:17:01,mail-0,CRON[468],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
16,mail.cup.com,Feb,29,02:17:01,mail-0,CRON[468],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
17,mail.cup.com,Feb,29,02:39:01,mail-0,CRON[512],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
18,mail.cup.com,Feb,29,02:39:01,mail-0,CRON[512],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
19,mail.cup.com,Feb,29,03:09:01,mail-0,CRON[645],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
20,mail.cup.com,Feb,29,03:09:01,mail-0,CRON[645],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
21,mail.cup.com,Feb,29,03:17:01,mail-0,CRON[716],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
22,mail.cup.com,Feb,29,03:17:01,mail-0,CRON[716],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
23,mail.cup.com,Feb,29,03:39:01,mail-0,CRON[761],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
24,mail.cup.com,Feb,29,03:39:01,mail-0,CRON[761],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
25,mail.cup.com,Feb,29,04:09:02,mail-0,CRON[909],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
26,mail.cup.com,Feb,29,04:09:02,mail-0,CRON[909],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
27,mail.cup.com,Feb,29,04:17:01,mail-0,CRON[977],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
28,mail.cup.com,Feb,29,04:17:01,mail-0,CRON[977],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
29,mail.cup.com,Feb,29,04:39:01,mail-0,CRON[1043],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
30,mail.cup.com,Feb,29,04:39:01,mail-0,CRON[1043],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
31,mail.cup.com,Feb,29,05:09:01,mail-0,CRON[1153],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
32,mail.cup.com,Feb,29,05:09:01,mail-0,CRON[1153],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
33,mail.cup.com,Feb,29,05:17:01,mail-0,CRON[1234],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
34,mail.cup.com,Feb,29,05:17:01,mail-0,CRON[1234],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
35,mail.cup.com,Feb,29,05:39:01,mail-0,CRON[1274],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
36,mail.cup.com,Feb,29,05:39:01,mail-0,CRON[1274],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
37,mail.cup.com,Feb,29,06:09:01,mail-0,CRON[1449],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
38,mail.cup.com,Feb,29,06:09:01,mail-0,CRON[1449],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
39,mail.cup.com,Feb,29,06:17:01,mail-0,CRON[1547],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
40,mail.cup.com,Feb,29,06:17:01,mail-0,CRON[1547],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
41,mail.cup.com,Feb,29,06:25:01,mail-0,CRON[1641],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
42,mail.cup.com,Feb,29,06:26:15,mail-0,CRON[1641],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
43,mail.cup.com,Feb,29,06:39:01,mail-0,CRON[1866],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
44,mail.cup.com,Feb,29,06:39:01,mail-0,CRON[1866],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
45,mail.cup.com,Feb,29,07:09:01,mail-0,CRON[2238],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
46,mail.cup.com,Feb,29,07:09:01,mail-0,CRON[2238],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
47,mail.cup.com,Feb,29,07:17:01,mail-0,CRON[2457],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
48,mail.cup.com,Feb,29,07:17:01,mail-0,CRON[2457],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
49,mail.cup.com,Feb,29,07:22:00,mail-0,auth,pam_unix(dovecot:auth): authentication failure; logname= uid=0 euid=0 tty=dovecot ruser=sunni rhost=127.0.0.1  user=sunni,e4c34c7d,pam_unix(dovecot:<*>): authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser=<*> rhost=<*>.<*>.<*>.<*> user=<*>,"['auth', '0', '0', 'dovecot', 'sunni', '127', '0.0.1', 'sunni']"
50,mail.cup.com,Feb,29,07:22:09,mail-0,auth,pam_unix(dovecot:auth): authentication failure; logname= uid=0 euid=0 tty=dovecot ruser=sunni rhost=127.0.0.1  user=sunni,e4c34c7d,pam_unix(dovecot:<*>): authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser=<*> rhost=<*>.<*>.<*>.<*> user=<*>,"['auth', '0', '0', 'dovecot', 'sunni', '127', '0.0.1', 'sunni']"
51,mail.cup.com,Feb,29,07:39:01,mail-0,CRON[3125],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
52,mail.cup.com,Feb,29,07:39:01,mail-0,CRON[3125],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
53,mail.cup.com,Feb,29,08:09:01,mail-0,CRON[3830],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
54,mail.cup.com,Feb,29,08:09:01,mail-0,CRON[3830],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
55,mail.cup.com,Feb,29,08:17:02,mail-0,CRON[4087],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
56,mail.cup.com,Feb,29,08:17:02,mail-0,CRON[4087],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
57,mail.cup.com,Feb,29,08:25:17,mail-0,auth,pam_unix(dovecot:auth): authentication failure; logname= uid=0 euid=0 tty=dovecot ruser=maile rhost=127.0.0.1  user=maile,e4c34c7d,pam_unix(dovecot:<*>): authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser=<*> rhost=<*>.<*>.<*>.<*> user=<*>,"['auth', '0', '0', 'dovecot', 'maile', '127', '0.0.1', 'maile']"
58,mail.cup.com,Feb,29,08:25:24,mail-0,auth,pam_unix(dovecot:auth): authentication failure; logname= uid=0 euid=0 tty=dovecot ruser=maile rhost=127.0.0.1  user=maile,e4c34c7d,pam_unix(dovecot:<*>): authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser=<*> rhost=<*>.<*>.<*>.<*> user=<*>,"['auth', '0', '0', 'dovecot', 'maile', '127', '0.0.1', 'maile']"
59,mail.cup.com,Feb,29,08:39:01,mail-0,CRON[4481],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
60,mail.cup.com,Feb,29,08:39:01,mail-0,CRON[4481],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
61,mail.cup.com,Feb,29,09:09:01,mail-0,CRON[5269],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
62,mail.cup.com,Feb,29,09:09:01,mail-0,CRON[5269],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
63,mail.cup.com,Feb,29,09:17:01,mail-0,CRON[5647],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
64,mail.cup.com,Feb,29,09:17:01,mail-0,CRON[5647],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
65,mail.cup.com,Feb,29,09:39:01,mail-0,CRON[6368],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
66,mail.cup.com,Feb,29,09:39:01,mail-0,CRON[6368],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
67,mail.cup.com,Feb,29,10:09:01,mail-0,CRON[7385],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
68,mail.cup.com,Feb,29,10:09:01,mail-0,CRON[7385],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
69,mail.cup.com,Feb,29,10:17:01,mail-0,CRON[7686],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
70,mail.cup.com,Feb,29,10:17:01,mail-0,CRON[7686],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
71,mail.cup.com,Feb,29,10:39:02,mail-0,CRON[8445],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
72,mail.cup.com,Feb,29,10:39:02,mail-0,CRON[8445],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
73,mail.cup.com,Feb,29,11:09:01,mail-0,CRON[9081],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
74,mail.cup.com,Feb,29,11:09:01,mail-0,CRON[9081],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
75,mail.cup.com,Feb,29,11:17:01,mail-0,CRON[9272],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
76,mail.cup.com,Feb,29,11:17:01,mail-0,CRON[9272],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
77,mail.cup.com,Feb,29,11:39:04,mail-0,CRON[9554],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
78,mail.cup.com,Feb,29,11:39:05,mail-0,CRON[9554],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
79,mail.cup.com,Feb,29,12:09:01,mail-0,CRON[10426],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
80,mail.cup.com,Feb,29,12:09:01,mail-0,CRON[10426],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
81,mail.cup.com,Feb,29,12:17:02,mail-0,CRON[10709],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
82,mail.cup.com,Feb,29,12:17:02,mail-0,CRON[10709],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
83,mail.cup.com,Feb,29,12:39:02,mail-0,CRON[11258],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
84,mail.cup.com,Feb,29,12:39:02,mail-0,CRON[11258],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
85,mail.cup.com,Feb,29,13:09:01,mail-0,CRON[12093],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
86,mail.cup.com,Feb,29,13:09:01,mail-0,CRON[12093],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
87,mail.cup.com,Feb,29,13:17:01,mail-0,CRON[12399],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
