time;file;initializedLogFiles;extractNerRules;extractLogEventTemplates;extractOttrBase;extractOttrInstances;generateTurtleFile
2020-12-03T07:43:41.636530Z;auth.log;5996;5;5349;25;611;7991
2020-12-03T07:43:41.636530Z;auth.log;5996;5;451;4;473;8440
2020-12-03T07:43:41.636530Z;auth.log;5996;5;212;3;123;4696
2020-12-03T07:44:16.354034Z;mail.log;7954;0;6549;61;1050;27536
2020-12-03T07:44:16.354034Z;mail.log;7954;0;21939;230;3330;48215
2020-12-03T07:46:13.774328Z;access.log;10535;2;3413;3;1097;29482
2020-12-03T07:46:13.774328Z;access.log;10535;2;909;3;1173;28838
2020-12-03T07:47:29.460337Z;messages;8978;1;1864;9;640;23367
2020-12-03T07:47:29.460337Z;messages;8978;1;1425;21;739;23559
2020-12-03T07:48:30.333091Z;audit.log;3495;0;1652;2;304;15624
2020-12-03T07:48:51.672811Z;fast.log;6555;0;936;1;457;17518
2020-12-03T07:48:51.672811Z;fast.log;6555;0;82;1;101;7753
2020-12-03T07:49:25.511388Z;error.log;2605;0;1698;6;103;5367
2020-12-03T07:49:35.561005Z;syslog;8703;0;5447;14;533;20774
2020-12-03T07:49:35.561005Z;syslog;8703;0;7115;37;465;21388
2020-12-03T07:50:40.274601Z;auth.log;6803;0;147;1;197;10162
2020-12-03T07:50:40.274601Z;auth.log;6803;0;184;1;227;8854
2020-12-03T07:50:40.274601Z;auth.log;6803;0;111;1;54;4689
2020-12-03T07:51:11.975594Z;mainlog;6932;1;259;1;347;15355
2020-12-03T07:51:11.975594Z;mainlog;6932;1;213;1;431;17638
2020-12-03T07:51:54.014195Z;daemon.log;11022;0;3162;13;335;17846
2020-12-03T07:51:54.014195Z;daemon.log;11022;0;741;9;89;8072
2020-12-03T09:48:11.649225Z;auth.log;5114;11;3405;17;604;6619
2020-12-03T09:48:11.649225Z;auth.log;5114;11;291;2;266;7300
2020-12-03T09:48:11.649225Z;auth.log;5114;11;208;2;88;4189
