time;file;extractNerRules;extractLogEventTemplates;extractOttrBase;extractLogEvents
2020-05-23T12:12:55.980609Z;scenario/input/audit.log;92;26102;869;29147
2020-05-23T12:13:52.951379Z;scenario/input/apache-access.log;2;5656;1001;334
2020-05-23T12:14:01.049308Z;scenario/input/audit.log;0;13169;259;16162
2020-05-23T12:14:31.208769Z;scenario/input/kern.log;0;9920;278;2010
2020-05-23T12:14:43.769213Z;scenario/input/vsftpd.log;2;882;234;91
2020-05-23T12:14:45.399589Z;scenario/input/apache-error.log;4;1160;179;4
2020-05-23T12:14:47.237899Z;scenario/input/sys.log;0;17008;208;3348
2020-05-23T12:15:08.378785Z;scenario/input/auth.log;1;1843;167;536
2020-05-23T12:15:11.269227Z;scenario/input/apache-host.log;1;1072;153;119
2020-06-10T16:07:48.376868Z;scenario/input/audit.log;43;55702;124;15666
2020-06-10T16:09:00.482083Z;scenario/input/apache-access.log;7;2018;109;127
2020-06-10T16:09:03.165916Z;scenario/input/audit.log;1;13059;19;11068
2020-06-10T16:09:27.762041Z;scenario/input/kern.log;3;16293;93;1859
2020-06-10T16:09:46.434766Z;scenario/input/vsftpd.log;2;1022;131;96
2020-06-10T16:09:48.162935Z;scenario/input/apache-error.log;0;960;138;4
2020-06-10T16:09:49.859312Z;scenario/input/sys.log;3;26510;191;2324
2020-06-10T16:10:19.201354Z;scenario/input/auth.log;1;4505;203;449
2020-06-10T16:10:24.708144Z;scenario/input/apache-host.log;2;3054;202;147
2020-11-25T22:41:45.435582Z;scenario/input/audit.log;22;3027;620;7
2020-11-25T22:41:49.317905Z;scenario/input/apache-access.log;2;5522;333;104
2020-11-25T22:41:55.568516Z;scenario/input/audit.log;0;818;220;1
2020-11-25T22:41:56.899102Z;scenario/input/kern.log;1;7661;216;1971
2020-11-25T22:42:07.046002Z;scenario/input/vsftpd.log;4;588;126;40
2020-11-25T22:42:08.089471Z;scenario/input/apache-error.log;4;525;144;3
2020-11-25T22:42:09.067331Z;scenario/input/sys.log;1;11027;144;2476
2020-11-25T22:42:22.998337Z;scenario/input/auth.log;1;1286;137;371
2020-11-25T22:42:25.058278Z;scenario/input/apache-host.log;1;924;135;115
