LineId,Device,Month,Date,Time,Type,Component,Content,EventId,EventTemplate,ParameterList
1,cup,Feb,29,00:09:01,mail-0,CRON[32002],pam_unix(cron:session): session opened for user root by (uid=0),4ba90d53,pam_unix(cron:<*>): session opened for user root by (uid=<*>),"['session', '0']"
2,cup,Feb,29,00:09:01,mail-0,CRON[32002],pam_unix(cron:session): session closed for user root,77d7fb18,pam_unix(cron:<*>): session closed for user root,['session']
3,cup,Feb,29,00:17:01,mail-0,CRON[32209],pam_unix(cron:session): session opened for user root by (uid=0),4ba90d53,pam_unix(cron:<*>): session opened for user root by (uid=<*>),"['session', '0']"
4,cup,Feb,29,00:17:01,mail-0,CRON[32209],pam_unix(cron:session): session closed for user root,77d7fb18,pam_unix(cron:<*>): session closed for user root,['session']
5,cup,Feb,29,00:39:01,mail-0,CRON[32448],pam_unix(cron:session): session opened for user root by (uid=0),4ba90d53,pam_unix(cron:<*>): session opened for user root by (uid=<*>),"['session', '0']"
6,cup,Feb,29,00:39:01,mail-0,CRON[32448],pam_unix(cron:session): session closed for user root,77d7fb18,pam_unix(cron:<*>): session closed for user root,['session']
7,cup,Feb,29,01:09:01,mail-0,CRON[32599],pam_unix(cron:session): session opened for user root by (uid=0),4ba90d53,pam_unix(cron:<*>): session opened for user root by (uid=<*>),"['session', '0']"
8,cup,Feb,29,01:09:01,mail-0,CRON[32599],pam_unix(cron:session): session closed for user root,77d7fb18,pam_unix(cron:<*>): session closed for user root,['session']
9,cup,Feb,29,01:17:01,mail-0,CRON[32688],pam_unix(cron:session): session opened for user root by (uid=0),4ba90d53,pam_unix(cron:<*>): session opened for user root by (uid=<*>),"['session', '0']"
10,cup,Feb,29,01:17:01,mail-0,CRON[32688],pam_unix(cron:session): session closed for user root,77d7fb18,pam_unix(cron:<*>): session closed for user root,['session']
11,cup,Feb,29,01:39:01,mail-0,CRON[32724],pam_unix(cron:session): session opened for user root by (uid=0),4ba90d53,pam_unix(cron:<*>): session opened for user root by (uid=<*>),"['session', '0']"
12,cup,Feb,29,01:39:01,mail-0,CRON[32724],pam_unix(cron:session): session closed for user root,77d7fb18,pam_unix(cron:<*>): session closed for user root,['session']
13,cup,Feb,29,02:09:01,mail-0,CRON[392],pam_unix(cron:session): session opened for user root by (uid=0),4ba90d53,pam_unix(cron:<*>): session opened for user root by (uid=<*>),"['session', '0']"
14,cup,Feb,29,02:09:01,mail-0,CRON[392],pam_unix(cron:session): session closed for user root,77d7fb18,pam_unix(cron:<*>): session closed for user root,['session']
15,cup,Feb,29,02:17:01,mail-0,CRON[468],pam_unix(cron:session): session opened for user root by (uid=0),4ba90d53,pam_unix(cron:<*>): session opened for user root by (uid=<*>),"['session', '0']"
16,cup,Feb,29,02:17:01,mail-0,CRON[468],pam_unix(cron:session): session closed for user root,77d7fb18,pam_unix(cron:<*>): session closed for user root,['session']
17,cup,Feb,29,02:39:01,mail-0,CRON[512],pam_unix(cron:session): session opened for user root by (uid=0),4ba90d53,pam_unix(cron:<*>): session opened for user root by (uid=<*>),"['session', '0']"
18,cup,Feb,29,02:39:01,mail-0,CRON[512],pam_unix(cron:session): session closed for user root,77d7fb18,pam_unix(cron:<*>): session closed for user root,['session']
19,cup,Feb,29,03:09:01,mail-0,CRON[645],pam_unix(cron:session): session opened for user root by (uid=0),4ba90d53,pam_unix(cron:<*>): session opened for user root by (uid=<*>),"['session', '0']"
20,cup,Feb,29,03:09:01,mail-0,CRON[645],pam_unix(cron:session): session closed for user root,77d7fb18,pam_unix(cron:<*>): session closed for user root,['session']
21,cup,Feb,29,03:17:01,mail-0,CRON[716],pam_unix(cron:session): session opened for user root by (uid=0),4ba90d53,pam_unix(cron:<*>): session opened for user root by (uid=<*>),"['session', '0']"
22,cup,Feb,29,03:17:01,mail-0,CRON[716],pam_unix(cron:session): session closed for user root,77d7fb18,pam_unix(cron:<*>): session closed for user root,['session']
23,cup,Feb,29,03:39:01,mail-0,CRON[761],pam_unix(cron:session): session opened for user root by (uid=0),4ba90d53,pam_unix(cron:<*>): session opened for user root by (uid=<*>),"['session', '0']"
24,cup,Feb,29,03:39:01,mail-0,CRON[761],pam_unix(cron:session): session closed for user root,77d7fb18,pam_unix(cron:<*>): session closed for user root,['session']
25,cup,Feb,29,04:09:02,mail-0,CRON[909],pam_unix(cron:session): session opened for user root by (uid=0),4ba90d53,pam_unix(cron:<*>): session opened for user root by (uid=<*>),"['session', '0']"
26,cup,Feb,29,04:09:02,mail-0,CRON[909],pam_unix(cron:session): session closed for user root,77d7fb18,pam_unix(cron:<*>): session closed for user root,['session']
27,cup,Feb,29,04:17:01,mail-0,CRON[977],pam_unix(cron:session): session opened for user root by (uid=0),4ba90d53,pam_unix(cron:<*>): session opened for user root by (uid=<*>),"['session', '0']"
28,cup,Feb,29,04:17:01,mail-0,CRON[977],pam_unix(cron:session): session closed for user root,77d7fb18,pam_unix(cron:<*>): session closed for user root,['session']
29,cup,Feb,29,04:39:01,mail-0,CRON[1043],pam_unix(cron:session): session opened for user root by (uid=0),4ba90d53,pam_unix(cron:<*>): session opened for user root by (uid=<*>),"['session', '0']"
30,cup,Feb,29,04:39:01,mail-0,CRON[1043],pam_unix(cron:session): session closed for user root,77d7fb18,pam_unix(cron:<*>): session closed for user root,['session']
31,cup,Feb,29,05:09:01,mail-0,CRON[1153],pam_unix(cron:session): session opened for user root by (uid=0),4ba90d53,pam_unix(cron:<*>): session opened for user root by (uid=<*>),"['session', '0']"
32,cup,Feb,29,05:09:01,mail-0,CRON[1153],pam_unix(cron:session): session closed for user root,77d7fb18,pam_unix(cron:<*>): session closed for user root,['session']
33,cup,Feb,29,05:17:01,mail-0,CRON[1234],pam_unix(cron:session): session opened for user root by (uid=0),4ba90d53,pam_unix(cron:<*>): session opened for user root by (uid=<*>),"['session', '0']"
34,cup,Feb,29,05:17:01,mail-0,CRON[1234],pam_unix(cron:session): session closed for user root,77d7fb18,pam_unix(cron:<*>): session closed for user root,['session']
35,cup,Feb,29,05:39:01,mail-0,CRON[1274],pam_unix(cron:session): session opened for user root by (uid=0),4ba90d53,pam_unix(cron:<*>): session opened for user root by (uid=<*>),"['session', '0']"
36,cup,Feb,29,05:39:01,mail-0,CRON[1274],pam_unix(cron:session): session closed for user root,77d7fb18,pam_unix(cron:<*>): session closed for user root,['session']
37,cup,Feb,29,06:09:01,mail-0,CRON[1449],pam_unix(cron:session): session opened for user root by (uid=0),4ba90d53,pam_unix(cron:<*>): session opened for user root by (uid=<*>),"['session', '0']"
38,cup,Feb,29,06:09:01,mail-0,CRON[1449],pam_unix(cron:session): session closed for user root,77d7fb18,pam_unix(cron:<*>): session closed for user root,['session']
39,cup,Feb,29,06:17:01,mail-0,CRON[1547],pam_unix(cron:session): session opened for user root by (uid=0),4ba90d53,pam_unix(cron:<*>): session opened for user root by (uid=<*>),"['session', '0']"
40,cup,Feb,29,06:17:01,mail-0,CRON[1547],pam_unix(cron:session): session closed for user root,77d7fb18,pam_unix(cron:<*>): session closed for user root,['session']
41,cup,Feb,29,06:25:01,mail-0,CRON[1641],pam_unix(cron:session): session opened for user root by (uid=0),4ba90d53,pam_unix(cron:<*>): session opened for user root by (uid=<*>),"['session', '0']"
42,cup,Feb,29,06:26:15,mail-0,CRON[1641],pam_unix(cron:session): session closed for user root,77d7fb18,pam_unix(cron:<*>): session closed for user root,['session']
43,cup,Feb,29,06:39:01,mail-0,CRON[1866],pam_unix(cron:session): session opened for user root by (uid=0),4ba90d53,pam_unix(cron:<*>): session opened for user root by (uid=<*>),"['session', '0']"
44,cup,Feb,29,06:39:01,mail-0,CRON[1866],pam_unix(cron:session): session closed for user root,77d7fb18,pam_unix(cron:<*>): session closed for user root,['session']
45,cup,Feb,29,07:09:01,mail-0,CRON[2238],pam_unix(cron:session): session opened for user root by (uid=0),4ba90d53,pam_unix(cron:<*>): session opened for user root by (uid=<*>),"['session', '0']"
46,cup,Feb,29,07:09:01,mail-0,CRON[2238],pam_unix(cron:session): session closed for user root,77d7fb18,pam_unix(cron:<*>): session closed for user root,['session']
47,cup,Feb,29,07:17:01,mail-0,CRON[2457],pam_unix(cron:session): session opened for user root by (uid=0),4ba90d53,pam_unix(cron:<*>): session opened for user root by (uid=<*>),"['session', '0']"
48,cup,Feb,29,07:17:01,mail-0,CRON[2457],pam_unix(cron:session): session closed for user root,77d7fb18,pam_unix(cron:<*>): session closed for user root,['session']
49,cup,Feb,29,07:22:00,mail-0,auth,pam_unix(dovecot:auth): authentication failure; logname= uid=0 euid=0 tty=dovecot ruser=sunni rhost=127.0.0.1  user=sunni,58c5527c,pam_unix(dovecot:<*>): authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser=<*> rhost=<*> user=<*>,"['auth', '0', '0', 'dovecot', 'sunni', '127.0.0.1', 'sunni']"
50,cup,Feb,29,07:22:09,mail-0,auth,pam_unix(dovecot:auth): authentication failure; logname= uid=0 euid=0 tty=dovecot ruser=sunni rhost=127.0.0.1  user=sunni,58c5527c,pam_unix(dovecot:<*>): authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser=<*> rhost=<*> user=<*>,"['auth', '0', '0', 'dovecot', 'sunni', '127.0.0.1', 'sunni']"
51,cup,Feb,29,07:39:01,mail-0,CRON[3125],pam_unix(cron:session): session opened for user root by (uid=0),4ba90d53,pam_unix(cron:<*>): session opened for user root by (uid=<*>),"['session', '0']"
52,cup,Feb,29,07:39:01,mail-0,CRON[3125],pam_unix(cron:session): session closed for user root,77d7fb18,pam_unix(cron:<*>): session closed for user root,['session']
53,cup,Feb,29,08:09:01,mail-0,CRON[3830],pam_unix(cron:session): session opened for user root by (uid=0),4ba90d53,pam_unix(cron:<*>): session opened for user root by (uid=<*>),"['session', '0']"
54,cup,Feb,29,08:09:01,mail-0,CRON[3830],pam_unix(cron:session): session closed for user root,77d7fb18,pam_unix(cron:<*>): session closed for user root,['session']
55,cup,Feb,29,08:17:02,mail-0,CRON[4087],pam_unix(cron:session): session opened for user root by (uid=0),4ba90d53,pam_unix(cron:<*>): session opened for user root by (uid=<*>),"['session', '0']"
56,cup,Feb,29,08:17:02,mail-0,CRON[4087],pam_unix(cron:session): session closed for user root,77d7fb18,pam_unix(cron:<*>): session closed for user root,['session']
57,cup,Feb,29,08:25:17,mail-0,auth,pam_unix(dovecot:auth): authentication failure; logname= uid=0 euid=0 tty=dovecot ruser=maile rhost=127.0.0.1  user=maile,58c5527c,pam_unix(dovecot:<*>): authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser=<*> rhost=<*> user=<*>,"['auth', '0', '0', 'dovecot', 'maile', '127.0.0.1', 'maile']"
58,cup,Feb,29,08:25:24,mail-0,auth,pam_unix(dovecot:auth): authentication failure; logname= uid=0 euid=0 tty=dovecot ruser=maile rhost=127.0.0.1  user=maile,58c5527c,pam_unix(dovecot:<*>): authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser=<*> rhost=<*> user=<*>,"['auth', '0', '0', 'dovecot', 'maile', '127.0.0.1', 'maile']"
59,cup,Feb,29,08:39:01,mail-0,CRON[4481],pam_unix(cron:session): session opened for user root by (uid=0),4ba90d53,pam_unix(cron:<*>): session opened for user root by (uid=<*>),"['session', '0']"
60,cup,Feb,29,08:39:01,mail-0,CRON[4481],pam_unix(cron:session): session closed for user root,77d7fb18,pam_unix(cron:<*>): session closed for user root,['session']
61,cup,Feb,29,09:09:01,mail-0,CRON[5269],pam_unix(cron:session): session opened for user root by (uid=0),4ba90d53,pam_unix(cron:<*>): session opened for user root by (uid=<*>),"['session', '0']"
62,cup,Feb,29,09:09:01,mail-0,CRON[5269],pam_unix(cron:session): session closed for user root,77d7fb18,pam_unix(cron:<*>): session closed for user root,['session']
63,cup,Feb,29,09:17:01,mail-0,CRON[5647],pam_unix(cron:session): session opened for user root by (uid=0),4ba90d53,pam_unix(cron:<*>): session opened for user root by (uid=<*>),"['session', '0']"
64,cup,Feb,29,09:17:01,mail-0,CRON[5647],pam_unix(cron:session): session closed for user root,77d7fb18,pam_unix(cron:<*>): session closed for user root,['session']
65,cup,Feb,29,09:39:01,mail-0,CRON[6368],pam_unix(cron:session): session opened for user root by (uid=0),4ba90d53,pam_unix(cron:<*>): session opened for user root by (uid=<*>),"['session', '0']"
66,cup,Feb,29,09:39:01,mail-0,CRON[6368],pam_unix(cron:session): session closed for user root,77d7fb18,pam_unix(cron:<*>): session closed for user root,['session']
67,cup,Feb,29,10:09:01,mail-0,CRON[7385],pam_unix(cron:session): session opened for user root by (uid=0),4ba90d53,pam_unix(cron:<*>): session opened for user root by (uid=<*>),"['session', '0']"
68,cup,Feb,29,10:09:01,mail-0,CRON[7385],pam_unix(cron:session): session closed for user root,77d7fb18,pam_unix(cron:<*>): session closed for user root,['session']
69,cup,Feb,29,10:17:01,mail-0,CRON[7686],pam_unix(cron:session): session opened for user root by (uid=0),4ba90d53,pam_unix(cron:<*>): session opened for user root by (uid=<*>),"['session', '0']"
70,cup,Feb,29,10:17:01,mail-0,CRON[7686],pam_unix(cron:session): session closed for user root,77d7fb18,pam_unix(cron:<*>): session closed for user root,['session']
71,cup,Feb,29,10:39:02,mail-0,CRON[8445],pam_unix(cron:session): session opened for user root by (uid=0),4ba90d53,pam_unix(cron:<*>): session opened for user root by (uid=<*>),"['session', '0']"
72,cup,Feb,29,10:39:02,mail-0,CRON[8445],pam_unix(cron:session): session closed for user root,77d7fb18,pam_unix(cron:<*>): session closed for user root,['session']
73,cup,Feb,29,11:09:01,mail-0,CRON[9081],pam_unix(cron:session): session opened for user root by (uid=0),4ba90d53,pam_unix(cron:<*>): session opened for user root by (uid=<*>),"['session', '0']"
74,cup,Feb,29,11:09:01,mail-0,CRON[9081],pam_unix(cron:session): session closed for user root,77d7fb18,pam_unix(cron:<*>): session closed for user root,['session']
75,cup,Feb,29,11:17:01,mail-0,CRON[9272],pam_unix(cron:session): session opened for user root by (uid=0),4ba90d53,pam_unix(cron:<*>): session opened for user root by (uid=<*>),"['session', '0']"
76,cup,Feb,29,11:17:01,mail-0,CRON[9272],pam_unix(cron:session): session closed for user root,77d7fb18,pam_unix(cron:<*>): session closed for user root,['session']
77,cup,Feb,29,11:39:04,mail-0,CRON[9554],pam_unix(cron:session): session opened for user root by (uid=0),4ba90d53,pam_unix(cron:<*>): session opened for user root by (uid=<*>),"['session', '0']"
78,cup,Feb,29,11:39:05,mail-0,CRON[9554],pam_unix(cron:session): session closed for user root,77d7fb18,pam_unix(cron:<*>): session closed for user root,['session']
79,cup,Feb,29,12:09:01,mail-0,CRON[10426],pam_unix(cron:session): session opened for user root by (uid=0),4ba90d53,pam_unix(cron:<*>): session opened for user root by (uid=<*>),"['session', '0']"
80,cup,Feb,29,12:09:01,mail-0,CRON[10426],pam_unix(cron:session): session closed for user root,77d7fb18,pam_unix(cron:<*>): session closed for user root,['session']
81,cup,Feb,29,12:17:02,mail-0,CRON[10709],pam_unix(cron:session): session opened for user root by (uid=0),4ba90d53,pam_unix(cron:<*>): session opened for user root by (uid=<*>),"['session', '0']"
