LineId,Device,Month,Date,Time,Type,Component,Content,EventId,EventTemplate,ParameterList
1,cup,Feb,29,00:09:19,mail-0,systemd[1],Starting Clean php session files...,73f564e0,Starting Clean php session files...,[]
2,cup,Feb,29,00:09:19,mail-0,systemd[1],Started Clean php session files.,6d8806bb,Started Clean php session files.,[]
3,cup,Feb,29,00:39:19,mail-0,systemd[1],Starting Clean php session files...,73f564e0,Starting Clean php session files...,[]
4,cup,Feb,29,00:39:19,mail-0,systemd[1],Started Clean php session files.,6d8806bb,Started Clean php session files.,[]
5,cup,Feb,29,01:09:18,mail-0,systemd[1],Starting Clean php session files...,73f564e0,Starting Clean php session files...,[]
6,cup,Feb,29,01:09:19,mail-0,systemd[1],Started Clean php session files.,6d8806bb,Started Clean php session files.,[]
7,cup,Feb,29,01:39:18,mail-0,systemd[1],Starting Clean php session files...,73f564e0,Starting Clean php session files...,[]
8,cup,Feb,29,01:39:19,mail-0,systemd[1],Started Clean php session files.,6d8806bb,Started Clean php session files.,[]
9,cup,Feb,29,02:09:19,mail-0,systemd[1],Starting Clean php session files...,73f564e0,Starting Clean php session files...,[]
10,cup,Feb,29,02:09:19,mail-0,systemd[1],Started Clean php session files.,6d8806bb,Started Clean php session files.,[]
11,cup,Feb,29,02:39:18,mail-0,systemd[1],Starting Clean php session files...,73f564e0,Starting Clean php session files...,[]
12,cup,Feb,29,02:39:19,mail-0,systemd[1],Started Clean php session files.,6d8806bb,Started Clean php session files.,[]
13,cup,Feb,29,03:09:18,mail-0,systemd[1],Starting Clean php session files...,73f564e0,Starting Clean php session files...,[]
14,cup,Feb,29,03:09:19,mail-0,systemd[1],Started Clean php session files.,6d8806bb,Started Clean php session files.,[]
15,cup,Feb,29,03:39:18,mail-0,systemd[1],Starting Clean php session files...,73f564e0,Starting Clean php session files...,[]
16,cup,Feb,29,03:39:19,mail-0,systemd[1],Started Clean php session files.,6d8806bb,Started Clean php session files.,[]
17,cup,Feb,29,03:52:26,mail-0,dhclient[375],DHCPREQUEST of 192.168.10.154 on eth0 to 192.168.10.2 port 67,8dbb2c05,DHCPREQUEST of <*> on eth0 to <*> port <*>,"['192.168.10.154', '192.168.10.2', '67']"
18,cup,Feb,29,03:52:26,mail-0,dhclient[375],DHCPACK of 192.168.10.154 from 192.168.10.2,151a0778,DHCPACK of <*> from <*>,"['192.168.10.154', '192.168.10.2']"
19,cup,Feb,29,03:52:26,mail-0,dhclient[375],bound to 192.168.10.154 -- renewal in 30244 seconds.,032e2c6f,bound to <*> -- renewal in <*> seconds.,"['192.168.10.154', '30244']"
20,cup,Feb,29,04:09:19,mail-0,systemd[1],Starting Clean php session files...,73f564e0,Starting Clean php session files...,[]
21,cup,Feb,29,04:09:19,mail-0,systemd[1],Started Clean php session files.,6d8806bb,Started Clean php session files.,[]
22,cup,Feb,29,04:26:27,mail-0,dhclient[406],DHCPREQUEST of 192.168.10.154 on eth0 to 192.168.10.2 port 67,8dbb2c05,DHCPREQUEST of <*> on eth0 to <*> port <*>,"['192.168.10.154', '192.168.10.2', '67']"
23,cup,Feb,29,04:26:27,mail-0,dhclient[406],DHCPACK of 192.168.10.154 from 192.168.10.2,151a0778,DHCPACK of <*> from <*>,"['192.168.10.154', '192.168.10.2']"
24,cup,Feb,29,04:26:28,mail-0,dhclient[406],bound to 192.168.10.154 -- renewal in 32023 seconds.,032e2c6f,bound to <*> -- renewal in <*> seconds.,"['192.168.10.154', '32023']"
25,cup,Feb,29,04:39:19,mail-0,systemd[1],Starting Clean php session files...,73f564e0,Starting Clean php session files...,[]
26,cup,Feb,29,04:39:19,mail-0,systemd[1],Started Clean php session files.,6d8806bb,Started Clean php session files.,[]
27,cup,Feb,29,05:09:18,mail-0,systemd[1],Starting Clean php session files...,73f564e0,Starting Clean php session files...,[]
28,cup,Feb,29,05:09:19,mail-0,systemd[1],Started Clean php session files.,6d8806bb,Started Clean php session files.,[]
29,cup,Feb,29,05:39:19,mail-0,systemd[1],Starting Clean php session files...,73f564e0,Starting Clean php session files...,[]
30,cup,Feb,29,05:39:19,mail-0,systemd[1],Started Clean php session files.,6d8806bb,Started Clean php session files.,[]
31,cup,Feb,29,06:08:18,mail-0,systemd[1],Starting Daily apt upgrade and clean activities...,76b18ae2,Starting Daily apt upgrade and clean activities...,[]
32,cup,Feb,29,06:08:19,mail-0,systemd[1],Started Daily apt upgrade and clean activities.,be35dfa1,Started Daily apt upgrade and clean activities.,[]
33,cup,Feb,29,06:08:19,mail-0,systemd[1],apt-daily-upgrade.timer: Adding 31min 32.151359s random time.,640a7d30,apt-daily-upgrade.timer: Adding <*> <*> random time.,['31min 32.151359s']
34,cup,Feb,29,06:08:19,mail-0,systemd[1],apt-daily-upgrade.timer: Adding 8min 10.683417s random time.,640a7d30,apt-daily-upgrade.timer: Adding <*> <*> random time.,['8min 10.683417s']
35,cup,Feb,29,06:09:51,mail-0,systemd[1],Starting Clean php session files...,73f564e0,Starting Clean php session files...,[]
36,cup,Feb,29,06:09:51,mail-0,systemd[1],Started Clean php session files.,6d8806bb,Started Clean php session files.,[]
37,cup,Feb,29,06:39:08,mail-0,systemd[1],Starting Clean php session files...,73f564e0,Starting Clean php session files...,[]
38,cup,Feb,29,06:39:08,mail-0,systemd[1],Started Clean php session files.,6d8806bb,Started Clean php session files.,[]
39,cup,Feb,29,07:09:18,mail-0,systemd[1],Starting Clean php session files...,73f564e0,Starting Clean php session files...,[]
40,cup,Feb,29,07:09:19,mail-0,systemd[1],Started Clean php session files.,6d8806bb,Started Clean php session files.,[]
41,cup,Feb,29,07:39:18,mail-0,systemd[1],Starting Clean php session files...,73f564e0,Starting Clean php session files...,[]
42,cup,Feb,29,07:39:19,mail-0,systemd[1],Started Clean php session files.,6d8806bb,Started Clean php session files.,[]
43,cup,Feb,29,08:09:18,mail-0,systemd[1],Starting Clean php session files...,73f564e0,Starting Clean php session files...,[]
44,cup,Feb,29,08:09:19,mail-0,systemd[1],Started Clean php session files.,6d8806bb,Started Clean php session files.,[]
45,cup,Feb,29,08:39:18,mail-0,systemd[1],Starting Clean php session files...,73f564e0,Starting Clean php session files...,[]
46,cup,Feb,29,08:39:19,mail-0,systemd[1],Started Clean php session files.,6d8806bb,Started Clean php session files.,[]
47,cup,Feb,29,09:09:18,mail-0,systemd[1],Starting Clean php session files...,73f564e0,Starting Clean php session files...,[]
48,cup,Feb,29,09:09:19,mail-0,systemd[1],Started Clean php session files.,6d8806bb,Started Clean php session files.,[]
49,cup,Feb,29,09:39:07,mail-0,systemd[1],Starting Clean php session files...,73f564e0,Starting Clean php session files...,[]
50,cup,Feb,29,09:39:08,mail-0,systemd[1],Started Clean php session files.,6d8806bb,Started Clean php session files.,[]
51,cup,Feb,29,10:09:18,mail-0,systemd[1],Starting Clean php session files...,73f564e0,Starting Clean php session files...,[]
52,cup,Feb,29,10:09:19,mail-0,systemd[1],Started Clean php session files.,6d8806bb,Started Clean php session files.,[]
53,cup,Feb,29,10:39:18,mail-0,systemd[1],Starting Clean php session files...,73f564e0,Starting Clean php session files...,[]
54,cup,Feb,29,10:39:19,mail-0,systemd[1],Started Clean php session files.,6d8806bb,Started Clean php session files.,[]
55,cup,Feb,29,11:09:18,mail-0,systemd[1],Starting Clean php session files...,73f564e0,Starting Clean php session files...,[]
56,cup,Feb,29,11:09:19,mail-0,systemd[1],Started Clean php session files.,6d8806bb,Started Clean php session files.,[]
57,cup,Feb,29,11:39:25,mail-0,systemd[1],Starting Clean php session files...,73f564e0,Starting Clean php session files...,[]
58,cup,Feb,29,11:39:46,mail-0,systemd[1],Started Clean php session files.,6d8806bb,Started Clean php session files.,[]
59,cup,Feb,29,12:09:19,mail-0,systemd[1],Starting Clean php session files...,73f564e0,Starting Clean php session files...,[]
60,cup,Feb,29,12:09:19,mail-0,systemd[1],Started Clean php session files.,6d8806bb,Started Clean php session files.,[]
61,cup,Feb,29,12:16:30,mail-0,dhclient[375],DHCPREQUEST of 192.168.10.154 on eth0 to 192.168.10.2 port 67,8dbb2c05,DHCPREQUEST of <*> on eth0 to <*> port <*>,"['192.168.10.154', '192.168.10.2', '67']"
62,cup,Feb,29,12:16:30,mail-0,dhclient[375],DHCPACK of 192.168.10.154 from 192.168.10.2,151a0778,DHCPACK of <*> from <*>,"['192.168.10.154', '192.168.10.2']"
63,cup,Feb,29,12:16:30,mail-0,dhclient[375],bound to 192.168.10.154 -- renewal in 31216 seconds.,032e2c6f,bound to <*> -- renewal in <*> seconds.,"['192.168.10.154', '31216']"
64,cup,Feb,29,12:39:19,mail-0,systemd[1],Starting Clean php session files...,73f564e0,Starting Clean php session files...,[]
65,cup,Feb,29,12:39:19,mail-0,systemd[1],Started Clean php session files.,6d8806bb,Started Clean php session files.,[]
66,cup,Feb,29,13:09:18,mail-0,systemd[1],Starting Clean php session files...,73f564e0,Starting Clean php session files...,[]
67,cup,Feb,29,13:09:19,mail-0,systemd[1],Started Clean php session files.,6d8806bb,Started Clean php session files.,[]
68,cup,Feb,29,13:20:12,mail-0,dhclient[406],DHCPREQUEST of 192.168.10.154 on eth0 to 192.168.10.2 port 67,8dbb2c05,DHCPREQUEST of <*> on eth0 to <*> port <*>,"['192.168.10.154', '192.168.10.2', '67']"
69,cup,Feb,29,13:20:12,mail-0,dhclient[406],DHCPACK of 192.168.10.154 from 192.168.10.2,151a0778,DHCPACK of <*> from <*>,"['192.168.10.154', '192.168.10.2']"
70,cup,Feb,29,13:20:12,mail-0,dhclient[406],bound to 192.168.10.154 -- renewal in 35935 seconds.,032e2c6f,bound to <*> -- renewal in <*> seconds.,"['192.168.10.154', '35935']"
71,cup,Feb,29,13:39:19,mail-0,systemd[1],Starting Clean php session files...,73f564e0,Starting Clean php session files...,[]
72,cup,Feb,29,13:39:19,mail-0,systemd[1],Started Clean php session files.,6d8806bb,Started Clean php session files.,[]
73,cup,Feb,29,14:09:19,mail-0,systemd[1],Starting Clean php session files...,73f564e0,Starting Clean php session files...,[]
74,cup,Feb,29,14:09:19,mail-0,systemd[1],Started Clean php session files.,6d8806bb,Started Clean php session files.,[]
75,cup,Feb,29,14:39:19,mail-0,systemd[1],Starting Clean php session files...,73f564e0,Starting Clean php session files...,[]
76,cup,Feb,29,14:39:19,mail-0,systemd[1],Started Clean php session files.,6d8806bb,Started Clean php session files.,[]
77,cup,Feb,29,15:09:18,mail-0,systemd[1],Starting Clean php session files...,73f564e0,Starting Clean php session files...,[]
78,cup,Feb,29,15:09:19,mail-0,systemd[1],Started Clean php session files.,6d8806bb,Started Clean php session files.,[]
79,cup,Feb,29,15:39:19,mail-0,systemd[1],Starting Clean php session files...,73f564e0,Starting Clean php session files...,[]
80,cup,Feb,29,15:39:19,mail-0,systemd[1],Started Clean php session files.,6d8806bb,Started Clean php session files.,[]
81,cup,Feb,29,16:09:18,mail-0,systemd[1],Starting Clean php session files...,73f564e0,Starting Clean php session files...,[]
82,cup,Feb,29,16:09:19,mail-0,systemd[1],Started Clean php session files.,6d8806bb,Started Clean php session files.,[]
83,cup,Feb,29,16:35:53,mail-0,systemd[1],Starting Daily apt download activities...,b37fee6f,Starting Daily apt download activities...,[]
84,cup,Feb,29,16:35:53,mail-0,systemd[1],Started Daily apt download activities.,43d542ce,Started Daily apt download activities.,[]
85,cup,Feb,29,16:35:53,mail-0,systemd[1],apt-daily.timer: Adding 4h 19min 45.148422s random time.,8cabb1a7,apt-daily.timer: Adding <*> <*> <*> random time.,"['4h', '19min 45.148422s']"
86,cup,Feb,29,16:35:53,mail-0,systemd[1],apt-daily.timer: Adding 7h 5min 39.446431s random time.,8cabb1a7,apt-daily.timer: Adding <*> <*> <*> random time.,"['7h', '5min 39.446431s']"
87,cup,Feb,29,16:39:18,mail-0,systemd[1],Starting Clean php session files...,73f564e0,Starting Clean php session files...,[]
88,cup,Feb,29,16:39:19,mail-0,systemd[1],Started Clean php session files.,6d8806bb,Started Clean php session files.,[]
89,cup,Feb,29,17:09:18,mail-0,systemd[1],Starting Clean php session files...,73f564e0,Starting Clean php session files...,[]
90,cup,Feb,29,17:09:19,mail-0,systemd[1],Started Clean php session files.,6d8806bb,Started Clean php session files.,[]
91,cup,Feb,29,17:39:19,mail-0,systemd[1],Starting Clean php session files...,73f564e0,Starting Clean php session files...,[]
92,cup,Feb,29,17:39:19,mail-0,systemd[1],Started Clean php session files.,6d8806bb,Started Clean php session files.,[]
93,cup,Feb,29,18:09:19,mail-0,systemd[1],Starting Clean php session files...,73f564e0,Starting Clean php session files...,[]
94,cup,Feb,29,18:09:19,mail-0,systemd[1],Started Clean php session files.,6d8806bb,Started Clean php session files.,[]
95,cup,Feb,29,18:26:18,mail-0,systemd[1],Starting Cleanup of Temporary Directories...,038a758d,Starting Cleanup of Temporary Directories...,[]
96,cup,Feb,29,18:26:18,mail-0,systemd[1],Started Cleanup of Temporary Directories.,20447797,Started Cleanup of Temporary Directories.,[]
97,cup,Feb,29,18:39:48,mail-0,systemd[1],Starting Clean php session files...,73f564e0,Starting Clean php session files...,[]
98,cup,Feb,29,18:39:48,mail-0,systemd[1],Started Clean php session files.,6d8806bb,Started Clean php session files.,[]
99,cup,Feb,29,19:09:19,mail-0,systemd[1],Starting Clean php session files...,73f564e0,Starting Clean php session files...,[]
100,cup,Feb,29,19:09:19,mail-0,systemd[1],Started Clean php session files.,6d8806bb,Started Clean php session files.,[]
101,cup,Feb,29,19:39:18,mail-0,systemd[1],Starting Clean php session files...,73f564e0,Starting Clean php session files...,[]
102,cup,Feb,29,19:39:19,mail-0,systemd[1],Started Clean php session files.,6d8806bb,Started Clean php session files.,[]
103,cup,Feb,29,20:09:19,mail-0,systemd[1],Starting Clean php session files...,73f564e0,Starting Clean php session files...,[]
104,cup,Feb,29,20:09:19,mail-0,systemd[1],Started Clean php session files.,6d8806bb,Started Clean php session files.,[]
105,cup,Feb,29,20:39:11,mail-0,systemd[1],Starting Clean php session files...,73f564e0,Starting Clean php session files...,[]
