EventId,EventTemplate,Occurrences
209639ee,"imap-login: Login: <*> method=<*>, rip=<*>, lip=<*>, mpid=<*>, secured, <*>",3441
5d65de77,imap(karri): Logged out in=<*> out=<*>,292
e34a048f,"imap(karri): Error: file_dotlock_create(/<*>) failed: Permission denied (euid=<*>(karri) egid=<*>(karri) missing +w perm: /<*>, we're not in group <*>(mail), dir owned by <*>:<*> mode=<*>) (set mail_privileged_group=<*>)",260
e99ec507,"imap(kelsey): Error: file_dotlock_create(/<*>) failed: Permission denied (euid=<*>(kelsey) egid=<*>(kelsey) missing +w perm: /<*>, we're not in group <*>(mail), dir owned by <*>:<*> mode=<*>) (set mail_privileged_group=<*>)",57
63b0258d,imap(kelsey): Logged out in=<*> out=<*>,67
0cea3cb6,"imap(della): Error: file_dotlock_create(/<*>) failed: Permission denied (euid=<*>(della) egid=<*>(della) missing +w perm: /<*>, we're not in group <*>(mail), dir owned by <*>:<*> mode=<*>) (set mail_privileged_group=<*>)",277
0244090c,imap(della): Logged out in=<*> out=<*>,294
c5582a83,"imap(portia): Error: file_dotlock_create(/<*>) failed: Permission denied (euid=<*>(portia) egid=<*>(portia) missing +w perm: /<*>, we're not in group <*>(mail), dir owned by <*>:<*> mode=<*>) (set mail_privileged_group=<*>)",219
0c875741,imap(portia): Logged out in=<*> out=<*>,242
b287254d,imap(georgie): Logged out in=<*> out=<*>,201
52ef514c,"imap(georgie): Error: file_dotlock_create(/<*>) failed: Permission denied (euid=<*>(georgie) egid=<*>(georgie) missing +w perm: /<*>, we're not in group <*>(mail), dir owned by <*>:<*> mode=<*>) (set mail_privileged_group=<*>)",198
36724d5f,imap(page): Logged out in=<*> out=<*>,227
56ffcd44,"imap(page): Error: file_dotlock_create(/<*>) failed: Permission denied (euid=<*>(page) egid=<*>(page) missing +w perm: /<*>, we're not in group <*>(mail), dir owned by <*>:<*> mode=<*>) (set mail_privileged_group=<*>)",204
a784922c,imap(danette): Logged out in=<*> out=<*>,160
a08b2437,"imap(danette): Error: file_dotlock_create(/<*>) failed: Permission denied (euid=<*>(danette) egid=<*>(danette) missing +w perm: /<*>, we're not in group <*>(mail), dir owned by <*>:<*> mode=<*>) (set mail_privileged_group=<*>)",143
e77f2b75,imap(marcelina): Logged out in=<*> out=<*>,285
2d23bb88,"imap(marcelina): Error: file_dotlock_create(/<*>) failed: Permission denied (euid=<*>(marcelina) egid=<*>(marcelina) missing +w perm: /<*>, we're not in group <*>(mail), dir owned by <*>:<*> mode=<*>) (set mail_privileged_group=<*>)",262
a1f9f2dc,"imap-login: Disconnected (auth failed, <*> attempts in <*> secs): <*> method=<*>, rip=<*>, lip=<*>, secured, <*>",2
91ae1219,imap(maile): Logged out in=<*> out=<*>,322
0aa1642d,"imap(maile): Error: file_dotlock_create(/<*>) failed: Permission denied (euid=<*>(maile) egid=<*>(maile) missing +w perm: /<*>, we're not in group <*>(mail), dir owned by <*>:<*> mode=<*>) (set mail_privileged_group=<*>)",297
4c635d32,imap(sunni): Logged out in=<*> out=<*>,125
c5fea1ed,"imap(sunni): Error: file_dotlock_create(/<*>) failed: Permission denied (euid=<*>(sunni) egid=<*>(sunni) missing +w perm: /<*>, we're not in group <*>(mail), dir owned by <*>:<*> mode=<*>) (set mail_privileged_group=<*>)",109
36648ccb,imap(irwin): Logged out in=<*> out=<*>,390
ef9bd461,"imap(irwin): Error: file_dotlock_create(/<*>) failed: Permission denied (euid=<*>(irwin) egid=<*>(irwin) missing +w perm: /<*>, we're not in group <*>(mail), dir owned by <*>:<*> mode=<*>) (set mail_privileged_group=<*>)",323
25435735,imap(tiny): Logged out in=<*> out=<*>,186
99ed1872,"imap(tiny): Error: file_dotlock_create(/<*>) failed: Permission denied (euid=<*>(tiny) egid=<*>(tiny) missing +w perm: /<*>, we're not in group <*>(mail), dir owned by <*>:<*> mode=<*>) (set mail_privileged_group=<*>)",170
6dfaa66e,imap(trula): Logged out in=<*> out=<*>,357
949605ac,"imap(trula): Error: file_dotlock_create(/<*>) failed: Permission denied (euid=<*>(trula) egid=<*>(trula) missing +w perm: /<*>, we're not in group <*>(mail), dir owned by <*>:<*> mode=<*>) (set mail_privileged_group=<*>)",309
d9238e2d,imap(bertie): Logged out in=<*> out=<*>,188
ea170db5,"imap(bertie): Error: file_dotlock_create(/<*>) failed: Permission denied (euid=<*>(bertie) egid=<*>(bertie) missing +w perm: /<*>, we're not in group <*>(mail), dir owned by <*>:<*> mode=<*>) (set mail_privileged_group=<*>)",190
2f6b85c3,imap(daryl): Logged out in=<*> out=<*>,35
6be6297c,"imap(daryl): Error: file_dotlock_create(/<*>) failed: Permission denied (euid=<*>(daryl) egid=<*>(daryl) missing +w perm: /<*>, we're not in group <*>(mail), dir owned by <*>:<*> mode=<*>) (set mail_privileged_group=<*>)",29
1ac78d05,imap-login: Error: anvil: Anvil queries timed out after <*> secs - aborting queries,1
b25d7ee2,imap(latrice): Logged out in=<*> out=<*>,69
4d492cec,"imap(latrice): Error: file_dotlock_create(/<*>) failed: Permission denied (euid=<*>(latrice) egid=<*>(latrice) missing +w perm: /<*>, we're not in group <*>(mail), dir owned by <*>:<*> mode=<*>) (set mail_privileged_group=<*>)",69
