EventId,EventTemplate,Occurrences
c9f3df73,"[<*>] Login success for <*> <*> <*> <*> [pid <*> on line <*> of ""/<*>""]",175
c7a9a5e4,"[<*>] PHP ERROR: Declaration of Horde_Form_Type_country::<*>($prompt = NULL) should be compatible with Horde_Form_Type_enum::<*>($values, $prompt = NULL) [pid <*> on line <*> of ""/<*>""]",3631
0c2ce181,"[<*>] PHP ERROR: Declaration of Nag_Form_Task::<*>() should be compatible with Horde_Form::<*>($renderer = NULL, $vars = NULL, $action = '', $method = 'get', $enctype = NULL, $focus = true) [pid <*> on line <*> of ""/<*>""]",2812
3cdd7a4b,"[<*>] PHP ERROR: Declaration of Turba_Form_AddContact::<*>() should be compatible with Horde_Form::<*>($vars = NULL, $canAutoFill = false) [pid <*> on line <*> of ""/<*>""]",426
a33acd0c,"[<*>] PHP ERROR: Declaration of Horde_Form_Action_updatefield::<*>(&$form, &$renderer, $varname) should be compatible with Horde_Form_Action::<*>($form, $renderer, $varname) [pid <*> on line <*> of ""/<*>""]",809
09cc6741,"[<*>] PHP ERROR: Declaration of Horde_Form_Action_updatefield::<*>(&$vars, $sourceVal, $arrayVal = false) should be compatible with Horde_Form_Action::<*>(&$vars, $sourceVal, $index = NULL, $arrayVal = false) [pid <*> on line <*> of ""/<*>""]",809
02e23f8a,"[<*>] PHP ERROR: Declaration of Turba_Form_EditContact::<*>($renderer, $vars, $action, $method) should be compatible with Horde_Form::<*>($renderer = NULL, $vars = NULL, $action = '', $method = 'get', $enctype = NULL, $focus = true) [pid <*> on line <*> of ""/<*>""]",383
ee395858,"[<*>] Message sent to <*> <*> <*> <*> from <*> (<*>) [pid <*> on line <*> of ""/<*>""]",50
b6f5e68b,"[<*>] Message sent to <*> from <*> (<*>) [pid <*> on line <*> of ""/<*>""]",258
2fc5a013,"[<*>] User <*> logged out of Horde (<*>) [pid <*> on line <*> of ""/<*>""]",164
8f8ad23c,"[<*>] Message sent to <*> <*> from <*> (<*>) [pid <*> on line <*> of ""/<*>""]",193
28ab1ad5,"[<*>] Message sent to <*> <*> <*> from <*> (<*>) [pid <*> on line <*> of ""/<*>""]",49
4086fa06,"[<*>] [<*>] Authentication failed. [pid <*> on line <*> of ""/<*>""]",5
e4140226,"[<*>] <*> <*> for <*> (<*>) to {imap:<*>} [pid <*> on line <*> of ""/<*>""]",170
483352c7,[<*>.<*>] kworker/<*>:<*> R running task <*> <*> <*> 0x<*>,1
5c739974,[<*>.<*>] Workqueue: events cache_reap,1
f3053c62,[<*>.<*>] ffffffff9344fd80 ffffffff928a953b ffff9e73ffc196c0 ffffffff9344fd<*>,1
3d52b17c,[<*>.<*>] ffffffff928e5312 <*> ffff9e7350d21040 000000000004e<*>,1
c12e95af,[<*>.<*>] <*> <*> ffffffff00000000 ffffffff928acf3d,1
43b8b3ea,[<*>.<*>] Call Trace:,2
5989b943,[<*>.<*>] <*>,2
ff79df34,[<*>.<*>] <*> ? <*>,32
5a7a4bbd,[<*>.<*>] rcu_sched W <*> <*> <*> 0x<*>,1
c37a6051,[<*>.<*>] <*> ffff9e7350f21800 <*> ffff9e73fa4fe<*>,1
7d9d8680,[<*>.<*>] ffff9e73ffc18980 ffffffff93411500 ffffad3b4065fdb0 ffffffff92e<*>,1
5a963cfb,[<*>.<*>] ffffad3b4065fde0 0000000100b4a5ee ffff9e73ffc18980 <*>,1
dfa837de,"[<*>] Message sent to <*> <*> <*> <*> bertie@mail.cup.com from <*> (<*>) [pid <*> on line <*> of ""/<*>""]",7
eaaaf555,[<*>.<*>] audit: type=<*> audit(<*>.<*>:<*>): audit_pid=<*> old=<*> auid=<*> ses=<*> res=<*>,1
d2cbdf36,"[<*>.<*>] audit: type=<*> audit(<*>.<*>:<*>): pid=<*> uid=<*> auid=<*> ses=<*> msg='unit=<*> comm=""systemd"" exe=""/<*>"" hostname=? addr=? terminal=? res=<*>'",1
b84d6bec,"[<*>.<*>] audit: type=<*> audit(<*>.<*>:<*>): arch=<*> syscall=<*> success=<*> exit=<*> a0=<*> a1=<*> a2=<*> a3=<*> items=<*> ppid=<*> pid=<*> auid=<*> uid=<*> gid=<*> euid=<*> suid=<*> fsuid=<*> egid=<*> sgid=<*> fsgid=<*> tty=(none) ses=<*> <*> exe=""/<*>"" key=(null)",4
6d34fb02,[<*>.<*>] audit: type=<*> audit(<*>.<*>:<*>): item=<*> <*> nametype=<*>,2
a0f3f5a3,[<*>.<*>] audit: type=<*> audit(<*>.<*>:<*>): proctitle=<*><*>,2
4624b2ab,audit log is not writable by owner,1
0bf58d5e,"No plugins found, exiting",1
b4b6e001,"[origin software=""rsyslogd"" swVersion=""<*>.<*>.<*>"" x-pid=""<*>"" x-info=""http:<*>""] rsyslogd was HUPed",2
