LineId,Device,day,month,year,Time,ms,Content,EventId,EventTemplate,ParameterList
1,cup,02,29,2020,00:00:13,674931,[**] [1:2012887:3] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.10.190:39438 -> 192.168.10.154:80,7668c4a7,[**] [<*>:<*>:<*>] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: <*>] {TCP} <*> -> <*>,"['1', '2012887:3', '1', '192.168.10.190:39438', '-> 192.168.10.154:80']"
2,cup,02,29,2020,06:11:02,147044,[**] [1:2012887:3] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.10.238:50850 -> 192.168.10.154:80,7668c4a7,[**] [<*>:<*>:<*>] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: <*>] {TCP} <*> -> <*>,"['1', '2012887:3', '1', '192.168.10.238:50850', '-> 192.168.10.154:80']"
3,cup,02,29,2020,06:47:48,990684,[**] [1:2012887:3] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.10.4:41474 -> 192.168.10.154:80,7668c4a7,[**] [<*>:<*>:<*>] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: <*>] {TCP} <*> -> <*>,"['1', '2012887:3', '1', '192.168.10.4:41474', '-> 192.168.10.154:80']"
4,cup,02,29,2020,07:04:53,484158,[**] [1:2012887:3] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.10.200:49402 -> 192.168.10.154:80,7668c4a7,[**] [<*>:<*>:<*>] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: <*>] {TCP} <*> -> <*>,"['1', '2012887:3', '1', '192.168.10.200:49402', '-> 192.168.10.154:80']"
5,cup,02,29,2020,07:15:03,642031,[**] [1:2012887:3] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.10.238:51504 -> 192.168.10.154:80,7668c4a7,[**] [<*>:<*>:<*>] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: <*>] {TCP} <*> -> <*>,"['1', '2012887:3', '1', '192.168.10.238:51504', '-> 192.168.10.154:80']"
6,cup,02,29,2020,07:22:11,054966,[**] [1:2012887:3] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.10.4:41714 -> 192.168.10.154:80,7668c4a7,[**] [<*>:<*>:<*>] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: <*>] {TCP} <*> -> <*>,"['1', '2012887:3', '1', '192.168.10.4:41714', '-> 192.168.10.154:80']"
7,cup,02,29,2020,07:22:27,980666,[**] [1:2012887:3] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.10.190:40974 -> 192.168.10.154:80,7668c4a7,[**] [<*>:<*>:<*>] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: <*>] {TCP} <*> -> <*>,"['1', '2012887:3', '1', '192.168.10.190:40974', '-> 192.168.10.154:80']"
8,cup,02,29,2020,07:23:05,542017,[**] [1:2012887:3] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.10.4:41872 -> 192.168.10.154:80,7668c4a7,[**] [<*>:<*>:<*>] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: <*>] {TCP} <*> -> <*>,"['1', '2012887:3', '1', '192.168.10.4:41872', '-> 192.168.10.154:80']"
9,cup,02,29,2020,07:24:37,041469,[**] [1:2012887:3] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.10.4:42046 -> 192.168.10.154:80,7668c4a7,[**] [<*>:<*>:<*>] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: <*>] {TCP} <*> -> <*>,"['1', '2012887:3', '1', '192.168.10.4:42046', '-> 192.168.10.154:80']"
10,cup,02,29,2020,07:24:42,082072,[**] [1:2012887:3] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.10.190:41138 -> 192.168.10.154:80,7668c4a7,[**] [<*>:<*>:<*>] ET POLICY Http Client Body contains pass= in cleartext [**] [Classification: Potential Corporate Privacy Violation] [Priority: <*>] {TCP} <*> -> <*>,"['1', '2012887:3', '1', '192.168.10.190:41138', '-> 192.168.10.154:80']"
