LineId,Device,Month,Date,Time,Type,Component,Content,EventId,EventTemplate,ParameterList
1,cup,Feb,29,00:00:12,mail-0,dovecot,"imap-login: Login: user=<karri>, method=PLAIN, rip=127.0.0.1, lip=127.0.0.1, mpid=31781, secured, session=<tw5fo6ufSoV/AAAB>",209639ee,"imap-login: Login: <*> method=<*>, rip=<*>, lip=<*>, mpid=<*>, secured, <*>","['user=<karri>,', 'PLAIN', '127.0.0.1', '127.0.0.1', '31781', 'session=<tw5fo6ufSoV/AAAB>']"
2,cup,Feb,29,00:00:12,mail-0,HORDE,"[horde] Login success for karri to horde (192.168.10.190) [pid 31779 on line 163 of ""/var/www/mail.cup.com/login.php""]",c9f3df73,"[<*>] Login success for <*> <*> <*> <*> [pid <*> on line <*> of ""/<*>""]","['horde', 'karri', 'to horde (192.168.10.190)', '31779', '163', 'var/www/mail.cup.com/login.php']"
3,cup,Feb,29,00:00:12,mail-0,dovecot,imap(karri): Logged out in=26 out=471,5d65de77,imap(karri): Logged out in=<*> out=<*>,"['26', '471']"
4,cup,Feb,29,00:00:14,mail-0,dovecot,"imap-login: Login: user=<karri>, method=PLAIN, rip=127.0.0.1, lip=127.0.0.1, mpid=31784, secured, session=<16xyo6ufTIV/AAAB>",209639ee,"imap-login: Login: <*> method=<*>, rip=<*>, lip=<*>, mpid=<*>, secured, <*>","['user=<karri>,', 'PLAIN', '127.0.0.1', '127.0.0.1', '31784', 'session=<16xyo6ufTIV/AAAB>']"
5,cup,Feb,29,00:00:14,mail-0,HORDE,"[imp] Login success for karri (192.168.10.190) to {imap://localhost/} [pid 31779 on line 156 of ""/var/www/mail.cup.com/imp/lib/Auth.php""]",c9f3df73,"[<*>] Login success for <*> <*> <*> <*> [pid <*> on line <*> of ""/<*>""]","['imp', 'karri', '(192.168.10.190) to {imap://localhost/}', '31779', '156', 'var/www/mail.cup.com/imp/lib/Auth.php']"
6,cup,Feb,29,00:00:14,mail-0,dovecot,"imap(karri): Error: file_dotlock_create(/var/mail/karri) failed: Permission denied (euid=1008(karri) egid=1008(karri) missing +w perm: /var/mail, we're not in group 8(mail), dir owned by 0:8 mode=0775) (set mail_privileged_group=mail)",e34a048f,"imap(karri): Error: file_dotlock_create(/<*>) failed: Permission denied (euid=<*>(karri) egid=<*>(karri) missing +w perm: /<*>, we're not in group <*>(mail), dir owned by <*>:<*> mode=<*>) (set mail_privileged_group=<*>)","['var/mail/karri', '1008', '1008', 'var/mail', '8', '0:8', '0775', 'mail']"
7,cup,Feb,29,00:00:14,mail-0,dovecot,imap(karri): Logged out in=177 out=1115,5d65de77,imap(karri): Logged out in=<*> out=<*>,"['177', '1115']"
8,cup,Feb,29,00:00:23,mail-0,dovecot,"imap-login: Login: user=<kelsey>, method=PLAIN, rip=127.0.0.1, lip=127.0.0.1, mpid=31790, secured, session=<E4j9o6ufUIV/AAAB>",209639ee,"imap-login: Login: <*> method=<*>, rip=<*>, lip=<*>, mpid=<*>, secured, <*>","['user=<kelsey>,', 'PLAIN', '127.0.0.1', '127.0.0.1', '31790', 'session=<E4j9o6ufUIV/AAAB>']"
9,cup,Feb,29,00:00:23,mail-0,dovecot,"imap(kelsey): Error: file_dotlock_create(/var/mail/kelsey) failed: Permission denied (euid=1005(kelsey) egid=1005(kelsey) missing +w perm: /var/mail, we're not in group 8(mail), dir owned by 0:8 mode=0775) (set mail_privileged_group=mail)",e99ec507,"imap(kelsey): Error: file_dotlock_create(/<*>) failed: Permission denied (euid=<*>(kelsey) egid=<*>(kelsey) missing +w perm: /<*>, we're not in group <*>(mail), dir owned by <*>:<*> mode=<*>) (set mail_privileged_group=<*>)","['var/mail/kelsey', '1005', '1005', 'var/mail', '8', '0:8', '0775', 'mail']"
10,cup,Feb,29,00:00:23,mail-0,dovecot,imap(kelsey): Logged out in=79 out=875,63b0258d,imap(kelsey): Logged out in=<*> out=<*>,"['79', '875']"
