LineId,Device,Month,Date,Time,Type,Component,Content,EventId,EventTemplate,ParameterList
1,Client03,Mar,9,10:43:14,Client03,useradd[1220],"new group: name=akep, GID=1000",53ce8466,"new group: name=<*>, GID=<*>","['akep', '1000']"
2,Client03,Mar,9,10:43:14,Client03,useradd[1220],"new user: name=akep, UID=1000, GID=1000, home=/home/akep, shell=/bin/bash",24794b0b,"new user: name=<*>, UID=<*>, GID=<*>, home=<*>, shell=<*>","['akep', '1000', '1000', '/home/akep', '/bin/bash']"
3,Client03,Mar,9,10:43:14,Client03,useradd[1220],add 'akep' to group 'adm',1c77074f,add <*> to group <*>,"[""'akep'"", ""'adm'""]"
4,Client03,Mar,9,10:43:14,Client03,useradd[1220],add 'akep' to group 'dialout',1c77074f,add <*> to group <*>,"[""'akep'"", ""'dialout'""]"
5,Client03,Mar,9,10:43:14,Client03,useradd[1220],add 'akep' to group 'cdrom',1c77074f,add <*> to group <*>,"[""'akep'"", ""'cdrom'""]"
6,Client03,Mar,9,10:43:14,Client03,useradd[1220],add 'akep' to group 'floppy',1c77074f,add <*> to group <*>,"[""'akep'"", ""'floppy'""]"
7,Client03,Mar,9,10:43:14,Client03,useradd[1220],add 'akep' to group 'sudo',1c77074f,add <*> to group <*>,"[""'akep'"", ""'sudo'""]"
8,Client03,Mar,9,10:43:14,Client03,useradd[1220],add 'akep' to group 'audio',1c77074f,add <*> to group <*>,"[""'akep'"", ""'audio'""]"
9,Client03,Mar,9,10:43:14,Client03,useradd[1220],add 'akep' to group 'dip',1c77074f,add <*> to group <*>,"[""'akep'"", ""'dip'""]"
10,Client03,Mar,9,10:43:14,Client03,useradd[1220],add 'akep' to group 'video',1c77074f,add <*> to group <*>,"[""'akep'"", ""'video'""]"
11,Client03,Mar,9,10:43:14,Client03,useradd[1220],add 'akep' to group 'plugdev',1c77074f,add <*> to group <*>,"[""'akep'"", ""'plugdev'""]"
12,Client03,Mar,9,10:43:14,Client03,useradd[1220],add 'akep' to group 'lxd',1c77074f,add <*> to group <*>,"[""'akep'"", ""'lxd'""]"
13,Client03,Mar,9,10:43:14,Client03,useradd[1220],add 'akep' to group 'netdev',1c77074f,add <*> to group <*>,"[""'akep'"", ""'netdev'""]"
14,Client03,Mar,9,10:43:14,Client03,useradd[1220],add 'akep' to shadow group 'adm',655b65ef,add <*> to shadow group <*>,"[""'akep'"", ""'adm'""]"
15,Client03,Mar,9,10:43:14,Client03,useradd[1220],add 'akep' to shadow group 'dialout',655b65ef,add <*> to shadow group <*>,"[""'akep'"", ""'dialout'""]"
16,Client03,Mar,9,10:43:14,Client03,useradd[1220],add 'akep' to shadow group 'cdrom',655b65ef,add <*> to shadow group <*>,"[""'akep'"", ""'cdrom'""]"
17,Client03,Mar,9,10:43:14,Client03,useradd[1220],add 'akep' to shadow group 'floppy',655b65ef,add <*> to shadow group <*>,"[""'akep'"", ""'floppy'""]"
18,Client03,Mar,9,10:43:14,Client03,useradd[1220],add 'akep' to shadow group 'sudo',655b65ef,add <*> to shadow group <*>,"[""'akep'"", ""'sudo'""]"
19,Client03,Mar,9,10:43:14,Client03,useradd[1220],add 'akep' to shadow group 'audio',655b65ef,add <*> to shadow group <*>,"[""'akep'"", ""'audio'""]"
20,Client03,Mar,9,10:43:14,Client03,useradd[1220],add 'akep' to shadow group 'dip',655b65ef,add <*> to shadow group <*>,"[""'akep'"", ""'dip'""]"
21,Client03,Mar,9,10:43:14,Client03,useradd[1220],add 'akep' to shadow group 'video',655b65ef,add <*> to shadow group <*>,"[""'akep'"", ""'video'""]"
22,Client03,Mar,9,10:43:14,Client03,useradd[1220],add 'akep' to shadow group 'plugdev',655b65ef,add <*> to shadow group <*>,"[""'akep'"", ""'plugdev'""]"
23,Client03,Mar,9,10:43:14,Client03,useradd[1220],add 'akep' to shadow group 'lxd',655b65ef,add <*> to shadow group <*>,"[""'akep'"", ""'lxd'""]"
24,Client03,Mar,9,10:43:14,Client03,useradd[1220],add 'akep' to shadow group 'netdev',655b65ef,add <*> to shadow group <*>,"[""'akep'"", ""'netdev'""]"
25,Client03,Mar,9,10:43:14,Client03,systemd-logind[1266],New seat seat0.,f2bb95c7,New seat seat0.,[]
26,Client03,Mar,9,10:43:14,Client03,systemd-logind[1266],Watching system buttons on /dev/input/event0 (Power Button),38eb6b50,Watching system buttons on /<*> (Power Button),['dev/input/event0']
27,Client03,Mar,9,10:43:14,Client03,systemd-logind[1266],Watching system buttons on /dev/input/event2 (AT Translated Set 2 keyboard),13f0bdd8,Watching system buttons on /<*> (AT Translated Set <*> keyboard),"['dev/input/event2', '2']"
28,Client03,Mar,9,10:43:14,Client03,systemd-logind[1266],Watching system buttons on /dev/input/event1 (AT Translated Set 2 keyboard),13f0bdd8,Watching system buttons on /<*> (AT Translated Set <*> keyboard),"['dev/input/event1', '2']"
29,Client03,Mar,9,10:43:17,Client03,sshd[1628],Server listening on 0.0.0.0 port 22.,8938d159,Server listening on <*> port <*>.,"['0.0.0.0', '22']"
30,Client03,Mar,9,10:43:17,Client03,sshd[1628],Server listening on :: port 22.,8938d159,Server listening on <*> port <*>.,"['::', '22']"
31,Client03,Mar,9,10:43:20,Client03,sshd[1628],Received signal 15; terminating.,903531a0,Received signal <*>; terminating.,['15']
32,Client03,Mar,9,10:43:20,Client03,sshd[1848],Server listening on 0.0.0.0 port 22.,8938d159,Server listening on <*> port <*>.,"['0.0.0.0', '22']"
33,Client03,Mar,9,10:43:20,Client03,sshd[1848],Server listening on :: port 22.,8938d159,Server listening on <*> port <*>.,"['::', '22']"
34,Client03,Mar,9,10:57:24,Client03,sshd[1848],Received signal 15; terminating.,903531a0,Received signal <*>; terminating.,['15']
35,Client03,Mar,9,12:12:47,Client03,systemd-logind[1289],New seat seat0.,f2bb95c7,New seat seat0.,[]
36,Client03,Mar,9,12:12:47,Client03,systemd-logind[1289],Watching system buttons on /dev/input/event0 (Power Button),38eb6b50,Watching system buttons on /<*> (Power Button),['dev/input/event0']
37,Client03,Mar,9,12:12:47,Client03,systemd-logind[1289],Watching system buttons on /dev/input/event2 (AT Translated Set 2 keyboard),13f0bdd8,Watching system buttons on /<*> (AT Translated Set <*> keyboard),"['dev/input/event2', '2']"
38,Client03,Mar,9,12:12:47,Client03,systemd-logind[1289],Watching system buttons on /dev/input/event1 (AT Translated Set 2 keyboard),13f0bdd8,Watching system buttons on /<*> (AT Translated Set <*> keyboard),"['dev/input/event1', '2']"
39,Client03,Mar,9,12:12:47,Client03,sshd[1395],Server listening on 0.0.0.0 port 22.,8938d159,Server listening on <*> port <*>.,"['0.0.0.0', '22']"
40,Client03,Mar,9,12:12:47,Client03,sshd[1395],Server listening on :: port 22.,8938d159,Server listening on <*> port <*>.,"['::', '22']"
41,Client03,Mar,9,12:15:37,Client03,sshd[1867],Accepted password for akep from 185.81.215.145 port 62609 ssh2,09a810c1,Accepted password for <*> from <*> port <*> ssh<*>,"['akep', '185.81.215.145', '62609', '2']"
42,Client03,Mar,9,12:15:37,Client03,sshd[1867],pam_unix(sshd:session): session opened for user akep by (uid=0),d43c100f,pam_unix(sshd:<*>): session opened for user <*> by (uid=<*>),"['session', 'akep', '0']"
43,Client03,Mar,9,12:15:37,Client03,systemd-logind[1289],New session 1 of user akep.,4e6a7bf7,New session <*> of user <*>,"['1', 'akep.']"
44,Client03,Mar,9,12:15:37,Client03,systemd,pam_unix(systemd-user:session): session opened for user akep by (uid=0),d29cd75b,pam_unix(systemd-user:<*>): session opened for user <*> by (uid=<*>),"['session', 'akep', '0']"
45,Client03,Mar,9,12:15:50,Client03,sudo,akep : TTY=pts/0 ; PWD=/home/akep ; USER=root ; COMMAND=/usr/bin/apt-get update,8bedf12a,akep : TTY=<*><*> ; PWD=<*> ; USER=<*> ; COMMAND=<*> <*>,"['pts/0', '/home/akep', 'root', '/usr/bin/apt-get update']"
46,Client03,Mar,9,12:15:50,Client03,sudo,pam_unix(sudo:session): session opened for user root by akep(uid=0),fb571468,pam_unix(sudo:<*>): session opened for user root by <*>,"['session', 'akep(uid=0)']"
47,Client03,Mar,9,12:15:59,Client03,sudo,pam_unix(sudo:session): session closed for user root,8c48b733,pam_unix(sudo:<*>): session closed for user root,['session']
48,Client03,Mar,9,12:16:02,Client03,sudo,akep : TTY=pts/0 ; PWD=/home/akep ; USER=root ; COMMAND=/usr/bin/apt-get install xfce4,0d35f575,akep : TTY=<*><*> ; PWD=<*> ; USER=<*> ; COMMAND=<*> <*> <*>,"['pts/0', '/home/akep', 'root', '/usr/bin/apt-get', 'install xfce4']"
49,Client03,Mar,9,12:16:02,Client03,sudo,pam_unix(sudo:session): session opened for user root by akep(uid=0),fb571468,pam_unix(sudo:<*>): session opened for user root by <*>,"['session', 'akep(uid=0)']"
50,Client03,Mar,9,12:17:01,Client03,CRON[3520],pam_unix(cron:session): session opened for user root by (uid=0),4ba90d53,pam_unix(cron:<*>): session opened for user root by (uid=<*>),"['session', '0']"
51,Client03,Mar,9,12:17:01,Client03,CRON[3520],pam_unix(cron:session): session closed for user root,77d7fb18,pam_unix(cron:<*>): session closed for user root,['session']
52,Client03,Mar,9,12:18:44,Client03,groupadd[6444],"group added to /etc/group: name=rtkit, GID=115",c03bd4fe,"group added to /<*>: name=<*>, GID=<*>","['etc/group', 'rtkit', '115']"
53,Client03,Mar,9,12:18:44,Client03,groupadd[6444],group added to /etc/gshadow: name=rtkit,a4d94e58,group added to /<*>: name=<*>,"['etc/gshadow', 'rtkit']"
54,Client03,Mar,9,12:18:44,Client03,groupadd[6444],"new group: name=rtkit, GID=115",53ce8466,"new group: name=<*>, GID=<*>","['rtkit', '115']"
