LineId,Device,Month,Date,Time,Type,Component,Content,EventId,EventTemplate,ParameterList
1,Client03,Mar,9,10:43:14,Client03,kernel,[    0.000000] Linux version 5.0.0-1032-azure (buildd@lcy01-amd64-016) (gcc version 7.4.0 (Ubuntu 7.4.0-1ubuntu1~18.04.1)) #34-Ubuntu SMP Mon Feb 10 19:37:25 UTC 2020 (Ubuntu 5.0.0-1032.34-azure 5.0.21),be94182a,[ <*>.<*>] Linux version <*>.<*>.<*>-<*>-azure (buildd@lcy01-amd64-<*>) (gcc version <*>.<*>.<*> (Ubuntu <*>.<*>.<*>-1ubuntu1~<*>.<*>.<*>)) #<*>-Ubuntu SMP Mon Feb <*> <*>:<*>:<*> UTC <*> (Ubuntu <*>.<*>.<*>-<*>.<*>-azure <*>.<*>.<*>),"['0.000000', '5', '0.0-1032', '016', '7', '4.0', '7', '4.0', '18', '04.1', '34', '10 19', '37:25', '2020', '5', '0', '0-1032.34', '5', '0.21']"
2,Client03,Mar,9,10:43:14,Client03,kernel,[    0.000000] Command line: BOOT_IMAGE=/boot/vmlinuz-5.0.0-1032-azure root=UUID=5604f71e-1e5f-443c-a99e-b82bb5c201df ro console=tty1 console=ttyS0 earlyprintk=ttyS0 rootdelay=300,5fbfbc32,[ <*>.<*>] Command line: BOOT_IMAGE=<*><*>.<*>.<*>-<*>-azure root=<*>=<*> ro console=<*> console=<*> earlyprintk=<*> rootdelay=<*>,"['0.000000', '/boot/vmlinuz-5', '0.0', '1032', 'UUID=5604f71e-1e5f-443c-a99e-b82bb5c201df', 'tty1', 'ttyS0', 'ttyS0', '300']"
3,Client03,Mar,9,10:43:14,Client03,kernel,[    0.000000] KERNEL supported cpus:,965b1ec6,[ <*>.<*>] KERNEL supported cpus:,['0.000000']
4,Client03,Mar,9,10:43:14,Client03,kernel,[    0.000000]   Intel GenuineIntel,936b8562,[ <*>.<*>] <*> <*>,"['0.000000', 'Intel GenuineIntel']"
5,Client03,Mar,9,10:43:14,Client03,kernel,[    0.000000]   AMD AuthenticAMD,936b8562,[ <*>.<*>] <*> <*>,"['0.000000', 'AMD AuthenticAMD']"
6,Client03,Mar,9,10:43:14,Client03,kernel,[    0.000000]   Hygon HygonGenuine,936b8562,[ <*>.<*>] <*> <*>,"['0.000000', 'Hygon HygonGenuine']"
7,Client03,Mar,9,10:43:14,Client03,kernel,[    0.000000]   Centaur CentaurHauls,936b8562,[ <*>.<*>] <*> <*>,"['0.000000', 'Centaur CentaurHauls']"
8,Client03,Mar,9,10:43:14,Client03,kernel,[    0.000000] x86/fpu: Supporting XSAVE feature 0x001: 'x87 floating point registers',18f54aba,[ <*>.<*>] x86/<*>: Supporting XSAVE feature 0x001: 'x87 floating point registers',"['0.000000', 'fpu']"
9,Client03,Mar,9,10:43:14,Client03,kernel,[    0.000000] x86/fpu: Supporting XSAVE feature 0x002: 'SSE registers',d4f09af2,[ <*>.<*>] x86/<*>: Supporting XSAVE feature <*> <*> <*>,"['0.000000', 'fpu', '0x002:', ""'SSE registers'""]"
10,Client03,Mar,9,10:43:14,Client03,kernel,[    0.000000] x86/fpu: Supporting XSAVE feature 0x004: 'AVX registers',d4f09af2,[ <*>.<*>] x86/<*>: Supporting XSAVE feature <*> <*> <*>,"['0.000000', 'fpu', '0x004:', ""'AVX registers'""]"
11,Client03,Mar,9,10:43:14,Client03,kernel,"[    0.000000] x86/fpu: xstate_offset[2]:  576, xstate_sizes[2]:  256",2260ae38,"[ <*>.<*>] x86/<*>: xstate_offset[<*>]: <*>, xstate_sizes[<*>]: <*>","['0.000000', 'fpu', '2', '576', '2', '256']"
12,Client03,Mar,9,10:43:14,Client03,kernel,"[    0.000000] x86/fpu: Enabled xstate features 0x7, context size is 832 bytes, using 'standard' format.",a3a72cf2,"[ <*>.<*>] x86/<*>: Enabled xstate features <*> context size is <*> bytes, using <*> format.","['0.000000', 'fpu', '0x7,', '832', ""'standard'""]"
13,Client03,Mar,9,10:43:14,Client03,kernel,[    0.000000] BIOS-provided physical RAM map:,679f5927,[ <*>.<*>] BIOS-provided physical RAM map:,['0.000000']
14,Client03,Mar,9,10:43:14,Client03,kernel,[    0.000000] BIOS-e820: [mem 0x0000000000000000-0x000000000009fbff] usable,d4d60197,[ <*>.<*>] BIOS-e820: [mem <*> <*>,"['0.000000', '0x0000000000000000-0x000000000009fbff] usable']"
15,Client03,Mar,9,10:43:14,Client03,kernel,[    0.000000] BIOS-e820: [mem 0x000000000009fc00-0x000000000009ffff] reserved,d4d60197,[ <*>.<*>] BIOS-e820: [mem <*> <*>,"['0.000000', '0x000000000009fc00-0x000000000009ffff] reserved']"
16,Client03,Mar,9,10:43:14,Client03,kernel,[    0.000000] BIOS-e820: [mem 0x00000000000e0000-0x00000000000fffff] reserved,d4d60197,[ <*>.<*>] BIOS-e820: [mem <*> <*>,"['0.000000', '0x00000000000e0000-0x00000000000fffff] reserved']"
17,Client03,Mar,9,10:43:14,Client03,kernel,[    0.000000] BIOS-e820: [mem 0x0000000000100000-0x000000003ffeffff] usable,d4d60197,[ <*>.<*>] BIOS-e820: [mem <*> <*>,"['0.000000', '0x0000000000100000-0x000000003ffeffff] usable']"
18,Client03,Mar,9,10:43:14,Client03,kernel,[    0.000000] BIOS-e820: [mem 0x000000003fff0000-0x000000003fffefff] ACPI data,976560cf,[ <*>.<*>] BIOS-e820: [mem <*> ACPI <*>,"['0.000000', '0x000000003fff0000-0x000000003fffefff]', 'data']"
19,Client03,Mar,9,10:43:14,Client03,kernel,[    0.000000] BIOS-e820: [mem 0x000000003ffff000-0x000000003fffffff] ACPI NVS,976560cf,[ <*>.<*>] BIOS-e820: [mem <*> ACPI <*>,"['0.000000', '0x000000003ffff000-0x000000003fffffff]', 'NVS']"
20,Client03,Mar,9,10:43:14,Client03,kernel,[    0.000000] BIOS-e820: [mem 0x0000000100000000-0x00000002bfffffff] usable,d4d60197,[ <*>.<*>] BIOS-e820: [mem <*> <*>,"['0.000000', '0x0000000100000000-0x00000002bfffffff] usable']"
21,Client03,Mar,9,10:43:14,Client03,kernel,[    0.000000] printk: bootconsole [earlyser0] enabled,8f72dbf6,[ <*>.<*>] <*> <*> <*> enabled,"['0.000000', 'printk:', 'bootconsole [earlyser0]']"
22,Client03,Mar,9,10:43:14,Client03,kernel,[    0.000000] NX (Execute Disable) protection: active,a2cd9fdb,[ <*>.<*>] NX (Execute Disable) protection: active,['0.000000']
23,Client03,Mar,9,10:43:14,Client03,kernel,[    0.000000] SMBIOS 2.3 present.,271e8bd5,[ <*>.<*>] SMBIOS <*>.<*> present.,"['0.000000', '2.3']"
24,Client03,Mar,9,10:43:14,Client03,kernel,"[    0.000000] DMI: Microsoft Corporation Virtual Machine/Virtual Machine, BIOS 090007  06/02/2017",22803ace,"[ <*>.<*>] DMI: Microsoft Corporation Virtual Machine/<*> Machine, BIOS <*> <*>/<*>/<*>","['0.000000', 'Virtual', '090007  06', '02/2017']"
25,Client03,Mar,9,10:43:14,Client03,kernel,[    0.000000] Hypervisor detected: Microsoft Hyper-V,91ab13e8,[ <*>.<*>] Hypervisor detected: Microsoft Hyper-V,['0.000000']
26,Client03,Mar,9,10:43:14,Client03,kernel,"[    0.000000] Hyper-V: features 0x2e7f, hints 0x44c2c",9d9bfdd0,"[ <*>.<*>] Hyper-V: features 0x2e7f, hints 0x44c2c",['0.000000']
27,Client03,Mar,9,10:43:14,Client03,kernel,[    0.000000] Hyper-V Host Build:14393-10.0-0-0.305,e41e7a65,[ <*>.<*>] Hyper-V Host Build:<*>-<*>.<*>-<*>-<*>.<*>,"['0.000000', '14393-10', '0', '0-0.305']"
28,Client03,Mar,9,10:43:14,Client03,kernel,[    0.000000] Hyper-V: LAPIC Timer Frequency: 0xc3500,14bf15a5,[ <*>.<*>] Hyper-V: LAPIC Timer Frequency: 0xc<*>,"['0.000000', '3500']"
29,Client03,Mar,9,10:43:14,Client03,kernel,[    0.000000] tsc: Marking TSC unstable due to running on Hyper-V,eaf7708b,[ <*>.<*>] tsc: Marking TSC unstable due to running on Hyper-V,['0.000000']
30,Client03,Mar,9,10:43:14,Client03,kernel,[    0.000000] Hyper-V: Using hypercall for remote TLB flush,db4f6103,[ <*>.<*>] Hyper-V: Using hypercall for remote TLB flush,['0.000000']
31,Client03,Mar,9,10:43:14,Client03,kernel,[    0.000000] tsc: Detected 2394.456 MHz processor,835ab552,[ <*>.<*>] tsc: Detected <*>.<*> MHz processor,"['0.000000', '2394.456']"
32,Client03,Mar,9,10:43:14,Client03,kernel,[    0.001428] e820: update [mem 0x00000000-0x00000fff] usable ==> reserved,7f8f754f,[ <*>.<*>] e820: update [mem <*> usable ==> reserved,"['0.001428', '0x00000000-0x00000fff]']"
33,Client03,Mar,9,10:43:14,Client03,kernel,[    0.001430] e820: remove [mem 0x000a0000-0x000fffff] usable,1f70e9aa,[ <*>.<*>] e820: remove [mem 0x000a0000-0x000fffff] usable,['0.001430']
34,Client03,Mar,9,10:43:14,Client03,kernel,[    0.001434] last_pfn = 0x2c0000 max_arch_pfn = 0x400000000,893b62e4,[ <*>.<*>] last_pfn = <*> max_arch_pfn = 0x<*>,"['0.001434', '0x2c0000', '400000000']"
35,Client03,Mar,9,10:43:14,Client03,kernel,[    0.004531] MTRR default type: uncachable,1dbe8e7a,[ <*>.<*>] MTRR <*> <*> <*>,"['0.004531', 'default', 'type: uncachable']"
