EventId,EventTemplate,Occurrences
be94182a,[ <*>.<*>] Linux version <*>.<*>.<*>-<*>-azure (buildd@lcy01-amd64-<*>) (gcc version <*>.<*>.<*> (Ubuntu <*>.<*>.<*>-1ubuntu1~<*>.<*>.<*>)) #<*>-Ubuntu SMP Mon Feb <*> <*>:<*>:<*> UTC <*> (Ubuntu <*>.<*>.<*>-<*>.<*>-azure <*>.<*>.<*>),20
5fbfbc32,[ <*>.<*>] Command line: BOOT_IMAGE=<*><*>.<*>.<*>-<*>-azure root=<*>=<*> ro console=<*> console=<*> earlyprintk=<*> rootdelay=<*>,20
965b1ec6,[ <*>.<*>] KERNEL supported cpus:,20
936b8562,[ <*>.<*>] <*> <*>,599
18f54aba,[ <*>.<*>] x86/<*>: Supporting XSAVE feature 0x001: 'x87 floating point registers',20
d4f09af2,[ <*>.<*>] x86/<*>: Supporting XSAVE feature <*> <*> <*>,56
6368c3fb,[ <*>.<*>] x86/<*>: Supporting XSAVE feature 0x008: 'MPX bounds registers',4
2260ae38,"[ <*>.<*>] x86/<*>: xstate_offset[<*>]: <*>, xstate_sizes[<*>]: <*>",40
a3a72cf2,"[ <*>.<*>] x86/<*>: Enabled xstate features <*> context size is <*> bytes, using <*> format.",20
679f5927,[ <*>.<*>] BIOS-provided physical RAM map:,20
d4d60197,[ <*>.<*>] BIOS-e820: [mem <*> <*>,100
976560cf,[ <*>.<*>] BIOS-e820: [mem <*> ACPI <*>,40
8f72dbf6,[ <*>.<*>] <*> <*> <*> enabled,81
a2cd9fdb,[ <*>.<*>] NX (Execute Disable) protection: active,20
271e8bd5,[ <*>.<*>] SMBIOS <*>.<*> present.,20
22803ace,"[ <*>.<*>] DMI: Microsoft Corporation Virtual Machine/<*> Machine, BIOS <*> <*>/<*>/<*>",20
91ab13e8,[ <*>.<*>] Hypervisor detected: Microsoft Hyper-V,20
9d9bfdd0,"[ <*>.<*>] Hyper-V: features 0x2e7f, hints 0x44c2c",20
e41e7a65,[ <*>.<*>] Hyper-V Host Build:<*>-<*>.<*>-<*>-<*>.<*>,20
14bf15a5,[ <*>.<*>] Hyper-V: LAPIC Timer Frequency: 0xc<*>,20
eaf7708b,[ <*>.<*>] tsc: Marking TSC unstable due to running on Hyper-V,20
db4f6103,[ <*>.<*>] Hyper-V: Using hypercall for remote TLB flush,20
835ab552,[ <*>.<*>] tsc: Detected <*>.<*> MHz processor,20
