LineId,Month,Date,Time,Type,Component,Content,EventId,EventTemplate,ParameterList
1,Mar,9,10:43:14,Client03,useradd[1220],"new group: name=akep, GID=1000",724c882e,new group: <*> GID=<*>,"['name=akep,', '1000']"
2,Mar,9,10:43:14,Client03,useradd[1220],"new user: name=akep, UID=1000, GID=1000, home=/home/akep, shell=/bin/bash",74f6c0c1,"new user: <*> UID=<*>, GID=<*>, <*> <*>","['name=akep,', '1000', '1000', 'home=/home/akep, shell=/bin/bash']"
3,Mar,9,10:43:14,Client03,useradd[1220],add 'akep' to group 'adm',1c77074f,add <*> to group <*>,"[""'akep'"", ""'adm'""]"
4,Mar,9,10:43:14,Client03,useradd[1220],add 'akep' to group 'dialout',1c77074f,add <*> to group <*>,"[""'akep'"", ""'dialout'""]"
5,Mar,9,10:43:14,Client03,useradd[1220],add 'akep' to group 'cdrom',1c77074f,add <*> to group <*>,"[""'akep'"", ""'cdrom'""]"
6,Mar,9,10:43:14,Client03,useradd[1220],add 'akep' to group 'floppy',1c77074f,add <*> to group <*>,"[""'akep'"", ""'floppy'""]"
7,Mar,9,10:43:14,Client03,useradd[1220],add 'akep' to group 'sudo',1c77074f,add <*> to group <*>,"[""'akep'"", ""'sudo'""]"
8,Mar,9,10:43:14,Client03,useradd[1220],add 'akep' to group 'audio',1c77074f,add <*> to group <*>,"[""'akep'"", ""'audio'""]"
9,Mar,9,10:43:14,Client03,useradd[1220],add 'akep' to group 'dip',1c77074f,add <*> to group <*>,"[""'akep'"", ""'dip'""]"
10,Mar,9,10:43:14,Client03,useradd[1220],add 'akep' to group 'video',1c77074f,add <*> to group <*>,"[""'akep'"", ""'video'""]"
11,Mar,9,10:43:14,Client03,useradd[1220],add 'akep' to group 'plugdev',1c77074f,add <*> to group <*>,"[""'akep'"", ""'plugdev'""]"
12,Mar,9,10:43:14,Client03,useradd[1220],add 'akep' to group 'lxd',1c77074f,add <*> to group <*>,"[""'akep'"", ""'lxd'""]"
13,Mar,9,10:43:14,Client03,useradd[1220],add 'akep' to group 'netdev',1c77074f,add <*> to group <*>,"[""'akep'"", ""'netdev'""]"
14,Mar,9,10:43:14,Client03,useradd[1220],add 'akep' to shadow group 'adm',655b65ef,add <*> to shadow group <*>,"[""'akep'"", ""'adm'""]"
15,Mar,9,10:43:14,Client03,useradd[1220],add 'akep' to shadow group 'dialout',655b65ef,add <*> to shadow group <*>,"[""'akep'"", ""'dialout'""]"
16,Mar,9,10:43:14,Client03,useradd[1220],add 'akep' to shadow group 'cdrom',655b65ef,add <*> to shadow group <*>,"[""'akep'"", ""'cdrom'""]"
17,Mar,9,10:43:14,Client03,useradd[1220],add 'akep' to shadow group 'floppy',655b65ef,add <*> to shadow group <*>,"[""'akep'"", ""'floppy'""]"
18,Mar,9,10:43:14,Client03,useradd[1220],add 'akep' to shadow group 'sudo',655b65ef,add <*> to shadow group <*>,"[""'akep'"", ""'sudo'""]"
