EventId,EventTemplate,Occurrences
724c882e,new group: <*> GID=<*>,24
74f6c0c1,"new user: <*> UID=<*>, GID=<*>, <*> <*>",21
1c77074f,add <*> to group <*>,33
655b65ef,add <*> to shadow group <*>,33
f2bb95c7,New seat seat0.,20
52d4ae92,Watching system buttons on /dev/input/event0 (Power Button),20
daa8ad92,Watching system buttons on <*> (AT Translated Set <*> keyboard),40
8938d159,Server listening on <*> port <*>.,46
903531a0,Received signal <*>; terminating.,10
09a810c1,Accepted password for <*> from <*> port <*> ssh<*>,4
2ba1d1de,pam_unix(sshd:session): session opened for user <*> by (uid=<*>),4
4e6a7bf7,New session <*> of user <*>,32
7823d519,pam_unix(systemd-user:session): session opened for user <*> by (uid=<*>),28
08b5bed3,akep : TTY=pts/<*> ; PWD=/home/akep ; <*> ; <*> <*>,6
d5216419,pam_unix(sudo:session): session opened for user root by <*>,146
8b428b11,pam_unix(sudo:session): session closed for user root,145
87878af4,akep : TTY=pts/<*> ; <*> ; <*> ; <*> <*> <*>,15
c257f384,pam_unix(cron:session): session opened for user root by (uid=<*>),58
6e704123,pam_unix(cron:session): session closed for user root,58
b72edb09,group added to /etc/group: <*> GID=<*>,21
7b1cd48d,group added to /etc/gshadow: <*>,21
c1056d3a,change user <*> password,10
82466679,changed password expiry for <*>,13
5bd4dea5,changed user <*> information,14
f7e3b1ce,user pulse added by root to group audio,3
834d6a10,akep : TTY=pts/<*> ; <*> ; <*> ; <*> <*> install <*>,2
6e6edb9b,pam_unix(xrdp-sesman:session): session opened for user <*> by (uid=<*>),13
ac22ce5f,pam_unix(sshd:session): session closed for user <*>,2
81a78974,pam_unix(xrdp-sesman:session): session closed for user <*>,2
aabd4997,pam_unix(xrdp-sesman:auth): authentication failure; logname= uid=<*> euid=<*> tty=xrdp-sesman ruser= rhost= <*>,4
c0a756ec,Received disconnect from <*> port <*>:<*>: <*> <*> <*>,35
0054e5e2,Disconnected from <*> port <*> [preauth],39
0a7846c3,Connection <*> by <*> port <*> [preauth],24
cf94a865,Did not receive identification string from <*> port <*>,49
2d290434,jhalley : TTY=pts/<*> ; PWD=/home/jhalley ; <*> ; <*> <*>,9
ae766243,jhalley : TTY=pts/<*> ; PWD=/home/jhalley ; <*> ; <*> <*> <*>,12
b923b727,jhalley : TTY=pts/<*> ; PWD=/home/jhalley ; <*> ; COMMAND=/usr/bin/apt-get -y install xrdp,1
38dda80a,Invalid user <*> from <*> port <*>,243
0849a7d0,pam_unix(sshd:auth): check pass; user unknown,243
e0a8b45a,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*>,243
f0ba90fe,Failed password for invalid user <*> from <*> port <*> ssh<*>,242
f000e4fa,Connection closed by <*> user <*> <*> port <*> [preauth],10
54ff4343,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*> <*>,84
ada372e1,Failed password for <*> from <*> port <*> ssh<*>,87
ed46489a,Received disconnect from <*> port <*>:<*>: [preauth],30
2552eb03,Disconnected from <*> user <*> <*> port <*> [preauth],313
7aad7007,"Received disconnect from <*> port <*>:<*>: Normal Shutdown, Thank you for playing [preauth]",272
b542638e,message repeated <*> times: [ Failed password for root from <*> port <*> ssh2],26
cbf938f4,PAM <*> more authentication failures; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*> user=root,26
a9490e78,jdoe : TTY=pts/<*> ; PWD=/home/jdoe ; <*> ; COMMAND=/usr/bin/apt-get <*> <*> <*>,3
3a18b96c,jdoe : TTY=pts/<*> ; PWD=/home/jdoe ; <*> ; <*> <*>,7
877132e5,jdoe : TTY=pts/<*> ; PWD=/home/jdoe ; <*> ; <*> <*> <*>,10
1880755a,pam_unix(sudo:auth): authentication failure; logname= uid=<*> euid=<*> tty=/dev/pts/<*> ruser=sepses rhost= user=sepses,5
8df2590b,pam_unix(sudo:auth): conversation failed,1
919ea90f,pam_unix(sudo:auth): auth could not identify password for [sepses],1
3ef422c2,sepses : <*> incorrect password attempt ; TTY=pts/<*> ; PWD=/home/sepses ; <*> ; COMMAND=/usr/bin/apt-get install auditd -z,1
c57e3f25,sepses : TTY=pts/<*> ; PWD=/home/sepses ; <*> ; <*> <*> <*> <*>,8
00794f3a,sepses : TTY=pts/<*> ; <*> ; <*> ; <*> <*>,27
acff1e17,sepses : TTY=pts/<*> ; <*> ; <*> ; <*> <*> <*>,40
ff6ddb1a,sepses : TTY=pts/<*> ; PWD=/home/sepses ; <*> ; <*>,2
e748e735,root : TTY=pts/<*> ; PWD=/etc/audit ; <*> ; COMMAND=/bin/nano audit.conf,1
cc5fc443,error: maximum authentication attempts exceeded for root from <*> port <*> ssh2 [preauth],7
d6afbad1,Disconnecting authenticating user root <*> port <*>: Too many authentication failures [preauth],7
2f2318e5,PAM service(sshd) ignoring max retries; <*> > <*>,7
