LineId,Month,Date,Time,Type,Component,Content,EventId,EventTemplate,ParameterList
1,Mar,9,10:40:56,Client01,systemd-modules-load[498],Inserted module 'iscsi_tcp',e2d09e15,Inserted module <*>,"[""'iscsi_tcp'""]"
2,Mar,9,10:40:56,Client01,systemd[1],Starting Flush Journal to Persistent Storage...,e1db1317,Starting Flush Journal to Persistent Storage...,[]
3,Mar,9,10:40:56,Client01,keyboard-setup.sh[493],cannot open file /run/tmpkbd.DULnWm,f844a46d,cannot open file /run/tmpkbd.DULnWm,[]
4,Mar,9,10:40:56,Client01,systemd[1],Started udev Coldplug all Devices.,2ac0e54c,Started udev Coldplug all Devices.,[]
5,Mar,9,10:40:56,Client01,systemd[1],Started LVM2 metadata daemon.,0180b609,Started <*> <*> daemon.,['LVM2 metadata']
6,Mar,9,10:40:56,Client01,systemd[1],Started Create Static Device Nodes in /dev.,11aa1702,Started Create Static Device Nodes in /dev.,[]
7,Mar,9,10:40:56,Client01,systemd[1],Starting udev Kernel Device Manager...,22110ed5,Starting udev Kernel Device Manager...,[]
8,Mar,9,10:40:56,Client01,systemd[1],"Started Monitoring of LVM2 mirrors, snapshots etc. using dmeventd or progress polling.",92499399,"Started Monitoring of LVM2 mirrors, snapshots etc. using dmeventd or progress polling.",[]
9,Mar,9,10:40:56,Client01,systemd-modules-load[498],Inserted module 'ib_iser',e2d09e15,Inserted module <*>,"[""'ib_iser'""]"
10,Mar,9,10:40:56,Client01,systemd[1],Started Load Kernel Modules.,f95692bb,Started <*> Kernel <*>,"['Load', 'Modules.']"
11,Mar,9,10:40:56,Client01,systemd[1],Mounting Kernel Configuration File System...,40de610b,Mounting <*> <*> File System...,['Kernel Configuration']
12,Mar,9,10:40:56,Client01,systemd[1],Mounting FUSE Control File System...,40de610b,Mounting <*> <*> File System...,['FUSE Control']
13,Mar,9,10:40:56,Client01,systemd[1],Starting Apply Kernel Variables...,96c375ea,Starting Apply Kernel Variables...,[]
14,Mar,9,10:40:56,Client01,systemd[1],Mounted Kernel Configuration File System.,737d7ce7,Mounted <*> <*> File System.,['Kernel Configuration']
15,Mar,9,10:40:56,Client01,systemd[1],Mounted FUSE Control File System.,737d7ce7,Mounted <*> <*> File System.,['FUSE Control']
16,Mar,9,10:40:56,Client01,systemd[1],Started Flush Journal to Persistent Storage.,7a4412e1,Started Flush Journal to Persistent Storage.,[]
17,Mar,9,10:40:56,Client01,systemd[1],Started Apply Kernel Variables.,f95692bb,Started <*> Kernel <*>,"['Apply', 'Variables.']"
18,Mar,9,10:40:56,Client01,systemd[1],Started udev Kernel Device Manager.,0964e582,Started udev Kernel Device Manager.,[]
19,Mar,9,10:40:56,Client01,systemd-udevd[551],"link_config: autonegotiation is unset or enabled, the speed and duplex are not writable.",b4c65ba8,"link_config: autonegotiation is unset or enabled, the speed and duplex are not writable.",[]
20,Mar,9,10:40:56,Client01,systemd[1],Found device /dev/ttyS0.,07b8c44b,Found device <*>,['/dev/ttyS0.']
21,Mar,9,10:40:56,Client01,systemd[1],Listening on Load/Save RF Kill Switch Status /dev/rfkill Watch.,5ca53dd5,Listening on Load/Save RF Kill Switch Status /dev/rfkill Watch.,[]
22,Mar,9,10:40:56,Client01,systemd-udevd[551],"link_config: autonegotiation is unset or enabled, the speed and duplex are not writable.",b4c65ba8,"link_config: autonegotiation is unset or enabled, the speed and duplex are not writable.",[]
23,Mar,9,10:40:56,Client01,systemd[1],Found device /sys/devices/virtual/misc/vmbus!hv_kvp.,07b8c44b,Found device <*>,['/sys/devices/virtual/misc/vmbus!hv_kvp.']
24,Mar,9,10:40:56,Client01,systemd[1],Started Hyper-V KVP Protocol Daemon.,af718609,Started Hyper-V <*> Protocol Daemon.,['KVP']
25,Mar,9,10:40:56,Client01,KVP,KVP starting; pid is:581,5c47e00b,KVP starting; pid is:<*>,['581']
26,Mar,9,10:40:56,Client01,KVP,KVP LIC Version: 3.1,ab48c2c2,KVP LIC Version: <*>.<*>,['3.1']
27,Mar,9,10:40:56,Client01,systemd[1],Started Set the console keyboard layout.,046d6255,Started Set the console keyboard layout.,[]
28,Mar,9,10:40:56,Client01,systemd[1],Reached target Local File Systems (Pre).,46c291bc,Reached target <*> File Systems (Pre).,['Local']
29,Mar,9,10:40:56,Client01,systemd[1],Started Dispatch Password Requests to Console Directory Watch.,2e7c532c,Started Dispatch Password Requests to Console Directory Watch.,[]
30,Mar,9,10:40:56,Client01,systemd[1],Reached target Local Encrypted Volumes.,34b1ff8d,Reached target Local <*> <*>,['Encrypted Volumes.']
31,Mar,9,10:40:56,Client01,systemd[1],Found device Virtual_Disk UEFI.,aba829c1,Found device Virtual_Disk <*>,['UEFI.']
32,Mar,9,10:40:56,Client01,systemd[1],Mounting /boot/efi...,c85290aa,Mounting <*>,['/boot/efi...']
33,Mar,9,10:40:56,Client01,systemd[1],Mounted /boot/efi.,43d9f872,Mounted <*>,['/boot/efi.']
34,Mar,9,10:40:56,Client01,systemd[1],Reached target Local File Systems.,34b1ff8d,Reached target Local <*> <*>,['File Systems.']
35,Mar,9,10:40:56,Client01,systemd[1],Starting Set console font and keymap...,5be8af45,Starting Set console font and keymap...,[]
36,Mar,9,10:40:56,Client01,systemd[1],Starting Create Volatile Files and Directories...,553b6ace,Starting Create Volatile Files and Directories...,[]
37,Mar,9,10:40:56,Client01,systemd[1],Starting ebtables ruleset management...,cf714a33,Starting ebtables ruleset management...,[]
38,Mar,9,10:40:56,Client01,systemd[1],Starting Tell Plymouth To Write Out Runtime Data...,0ef14e86,Starting Tell Plymouth To Write Out Runtime Data...,[]
39,Mar,9,10:40:56,Client01,systemd[1],Starting AppArmor initialization...,c28ff93c,Starting AppArmor initialization...,[]
40,Mar,9,10:40:56,Client01,systemd[1],Starting Commit a transient machine-id on disk...,46a50284,Starting Commit a transient machine-id on disk...,[]
41,Mar,9,10:40:56,Client01,systemd[1],Started Set console font and keymap.,789c1938,Started Set console font and keymap.,[]
42,Mar,9,10:40:56,Client01,systemd[1],Started Create Volatile Files and Directories.,0dce4002,Started Create Volatile Files and Directories.,[]
43,Mar,9,10:40:56,Client01,systemd[1],Starting Network Time Synchronization...,efe6c9f1,Starting Network <*> <*>,['Time Synchronization...']
44,Mar,9,10:40:56,Client01,systemd[1],Starting Update UTMP about System Boot/Shutdown...,49f78a1f,Starting Update UTMP about System Boot/Shutdown...,[]
45,Mar,9,10:40:56,Client01,systemd[1],Started Tell Plymouth To Write Out Runtime Data.,6c9f2ba4,Started Tell Plymouth To Write Out Runtime Data.,[]
46,Mar,9,10:40:56,Client01,systemd[1],Started Update UTMP about System Boot/Shutdown.,23674c1b,Started Update UTMP about System Boot/Shutdown.,[]
47,Mar,9,10:40:56,Client01,systemd[1],Started Commit a transient machine-id on disk.,e752b074,Started Commit a transient machine-id on disk.,[]
48,Mar,9,10:40:56,Client01,apparmor[740],* Starting AppArmor profiles,5ec4b9d4,* Starting AppArmor profiles,[]
49,Mar,9,10:40:56,Client01,systemd[1],Started ebtables ruleset management.,556c2007,Started ebtables ruleset management.,[]
50,Mar,9,10:40:56,Client01,systemd[1],Started Network Time Synchronization.,19632b36,Started Network <*> <*>,['Time Synchronization.']
51,Mar,9,10:40:56,Client01,systemd[1],Reached target System Time Synchronized.,f1929b07,Reached target System Time Synchronized.,[]
