EventId,EventTemplate,Occurrences
e2d09e15,Inserted module <*>,35
e1db1317,Starting Flush Journal to Persistent Storage...,16
f844a46d,cannot open file /run/tmpkbd.DULnWm,16
2ac0e54c,Started udev Coldplug all Devices.,15
0180b609,Started <*> <*> daemon.,16
11aa1702,Started Create Static Device Nodes in /dev.,14
22110ed5,Starting udev Kernel Device Manager...,14
92499399,"Started Monitoring of LVM2 mirrors, snapshots etc. using dmeventd or progress polling.",15
f95692bb,Started <*> Kernel <*>,31
40de610b,Mounting <*> <*> File System...,30
96c375ea,Starting Apply Kernel Variables...,15
737d7ce7,Mounted <*> <*> File System.,31
7a4412e1,Started Flush Journal to Persistent Storage.,16
0964e582,Started udev Kernel Device Manager.,16
b4c65ba8,"link_config: autonegotiation is unset or enabled, the speed and duplex are not writable.",32
07b8c44b,Found device <*>,32
5ca53dd5,Listening on Load/Save RF Kill Switch Status /dev/rfkill Watch.,16
af718609,Started Hyper-V <*> Protocol Daemon.,32
5c47e00b,KVP starting; pid is:<*>,16
ab48c2c2,KVP LIC Version: <*>.<*>,16
046d6255,Started Set the console keyboard layout.,16
46c291bc,Reached target <*> File Systems (Pre).,32
2e7c532c,Started Dispatch Password Requests to Console Directory Watch.,16
34b1ff8d,Reached target Local <*> <*>,17
aba829c1,Found device Virtual_Disk <*>,29
c85290aa,Mounting <*>,17
43d9f872,Mounted <*>,17
5be8af45,Starting Set console font and keymap...,16
553b6ace,Starting Create Volatile Files and Directories...,16
cf714a33,Starting ebtables ruleset management...,16
0ef14e86,Starting Tell Plymouth To Write Out Runtime Data...,31
c28ff93c,Starting AppArmor initialization...,16
46a50284,Starting Commit a transient machine-id on disk...,3
789c1938,Started Set console font and keymap.,16
0dce4002,Started Create Volatile Files and Directories.,16
efe6c9f1,Starting Network <*> <*>,32
49f78a1f,Starting Update UTMP about System Boot/Shutdown...,16
6c9f2ba4,Started Tell Plymouth To Write Out Runtime Data.,31
23674c1b,Started Update UTMP about System Boot/Shutdown.,16
e752b074,Started Commit a transient machine-id on disk.,3
5ec4b9d4,* Starting AppArmor profiles,16
556c2007,Started ebtables ruleset management.,16
19632b36,Started Network <*> <*>,32
f1929b07,Reached target System Time Synchronized.,15
48b736f2,Skipping profile in /etc/apparmor.d/disable: <*>,27
5917eca7,...done.,48
0996564c,Started AppArmor initialization.,16
e78729f5,Starting Initial cloud-init job (pre-networking)...,16
70e76c7a,+ [ -e /var/lib/cloud/instance/obj.pkl ],16
c5c10621,+ exit <*>,16
06949766,Internet Systems Consortium DHCP Client <*>.<*>.<*>,30
bc90b480,Copyright <*>-<*> Internet Systems Consortium.,30
1efc109b,All rights reserved.,30
137389d4,"For info, please visit https://www.isc.org/software/dhcp/",30
bc8025b4,Listening on <*>,30
bbadc51a,Sending on <*>,60
8692bb20,DHCPDISCOVER on eth0 to <*> port <*> interval <*> <*>,38
11199ca5,DHCPREQUEST of <*> on eth0 to <*> port <*> <*>,30
be94182a,[ <*>.<*>] Linux version <*>.<*>.<*>-<*>-azure (buildd@lcy01-amd64-<*>) (gcc version <*>.<*>.<*> (Ubuntu <*>.<*>.<*>-1ubuntu1~<*>.<*>.<*>)) #<*>-Ubuntu SMP Mon Feb <*> <*>:<*>:<*> UTC <*> (Ubuntu <*>.<*>.<*>-<*>.<*>-azure <*>.<*>.<*>),16
82041fd7,DHCPOFFER of <*> from <*>,30
151a0778,DHCPACK of <*> from <*>,30
